, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,172500,9,19167,,,
1,Brunswick St,158000,9,17556,,,
2,Glenferrie Oval,153000,9,17000,,,
3,Junction Oval,160500,9,17833,,,
4,Kardinia Park,205047,9,22783,,,
5,Lake Oval,213500,9,23722,,,
6,M.C.G.,238345,9,26483,239734.0,4.0,59934.0
7,Princes Park,207707,9,23079,,,
8,Punt Rd,206000,9,22889,,,
9,Victoria Park,276056,9,30673,,,
10,Western Oval,224146,9,24905,,,
11,Windy Hill,223000,9,24778,,,
