,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,181848,6,30308
1,Round 2,127000,6,21167
2,Round 3,132500,6,22083
3,Round 4,133424,6,22237
4,Round 5,134747,6,22458
5,Round 6,136500,6,22750
6,Round 7,152025,6,25338
7,Round 8,140000,6,23333
8,Round 9,174698,6,29116
9,Round 10,138000,6,23000
10,Round 11,131180,6,21863
11,Round 12,130500,6,21750
12,Round 13,133656,6,22276
13,Round 14,127729,6,21288
14,Round 15,86000,6,14333
15,Round 16,122670,6,20445
16,Round 17,129809,6,21635
17,Round 18,125515,6,20919
18,Finals,239734,4,59934
