, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,241353,9,26817,249793.0,9.0,27755.0,491146.0,18.0,27286.0,194593.0,2.0,97297.0
1,Collingwood,245222,9,27247,299133.0,9.0,33237.0,544355.0,18.0,30242.0,91715.0,1.0,91715.0
2,Essendon,189224,9,21025,234283.0,9.0,26031.0,423507.0,18.0,23528.0,,,
3,Fitzroy,105974,9,11775,136445.0,9.0,15161.0,242419.0,18.0,13468.0,,,
4,Footscray,151868,9,16874,145447.0,9.0,16161.0,297315.0,18.0,16518.0,,,
5,Geelong,205816,9,22868,238284.0,9.0,26476.0,444100.0,18.0,24672.0,296653.0,3.0,98884.0
6,Hawthorn,133050,9,14783,147899.0,9.0,16433.0,280949.0,18.0,15608.0,,,
7,Melbourne,270312,9,30035,173537.0,9.0,19282.0,443849.0,18.0,24658.0,,,
8,North Melbourne,111574,9,12397,158778.0,9.0,17642.0,270352.0,18.0,15020.0,,,
9,Richmond,369787,9,41087,211259.0,9.0,23473.0,581046.0,18.0,32280.0,208447.0,2.0,104224.0
10,South Melbourne,142221,9,15802,190954.0,9.0,21217.0,333175.0,18.0,18510.0,,,
11,St Kilda,261601,9,29067,242190.0,9.0,26910.0,503791.0,18.0,27988.0,,,
12,Totals,Home & Away:2428002 (22482),Finals:395704 (98926) ,Overall:2823706 (25212),,,,,,,,,
