,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,175207,6,29201
1,Round 2,144188,6,24031
2,Round 3,137882,6,22980
3,Round 4,132050,6,22008
4,Round 5,155069,6,25845
5,Round 6,146729,6,24455
6,Round 7,139508,6,23251
7,Round 8,170526,6,28421
8,Round 9,155609,6,25935
9,Round 10,128042,6,21340
10,Round 11,102425,6,17071
11,Round 12,126408,6,21068
12,Round 13,118851,6,19809
13,Round 14,105798,6,17633
14,Round 15,125687,6,20948
15,Round 16,121475,6,20246
16,Round 17,114633,6,19106
17,Round 18,127915,6,21319
18,Finals,395704,4,98926
