, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,114000,9,12667,,,
1,Brunswick St,117000,9,13000,,,
2,Corio Oval,97000,9,10778,,,
3,Glenferrie Oval,79500,9,8833,,,
4,Junction Oval,120000,9,13333,,,
5,Lake Oval,233500,9,25944,,,
6,M.C.G.,64267,6,10711,230706.0,4.0,57677.0
7,Olympic Park,32500,3,10833,,,
8,Princes Park,192000,9,21333,,,
9,Punt Rd,181000,9,20111,,,
10,Victoria Park,149500,9,16611,,,
11,Western Oval,132000,9,14667,,,
12,Windy Hill,134000,9,14889,,,
