,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,125000,6,20833
1,Round 2,108500,6,18083
2,Round 3,106000,6,17667
3,Round 4,98000,6,16333
4,Round 5,109000,6,18167
5,Round 6,94500,6,15750
6,Round 7,98000,6,16333
7,Round 8,86000,6,14333
8,Round 9,84747,6,14125
9,Round 10,73307,6,12218
10,Round 11,91000,6,15167
11,Round 12,93283,6,15547
12,Round 13,88000,6,14667
13,Round 14,81486,6,13581
14,Round 15,77500,6,12917
15,Round 16,84746,6,14124
16,Round 17,80000,6,13333
17,Round 18,67198,6,11200
18,Finals,230706,4,57677
