, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,148286,9,16476,,,
1,Junction Oval,106971,9,11886,,,
2,Kardinia Park,155709,9,17301,,,
3,Lake Oval,172395,10,17240,,,
4,M.C.G.,570166,19,30009,358204.0,4.0,89551.0
5,Moorabbin Oval,158967,9,17663,,,
6,Princes Park,378778,18,21043,,,
7,Victoria Park,236052,9,26228,,,
8,Waverley Park,501391,20,25070,173010.0,3.0,57670.0
9,Western Oval,171531,10,17153,,,
10,Windy Hill,172761,10,17276,,,
