,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,131533,6,21922
1,Round 2,157972,6,26329
2,Round 3,128597,6,21433
3,Round 4,195246,6,32541
4,Round 5,116592,6,19432
5,Round 6,159782,6,26630
6,Round 7,134272,6,22379
7,Round 8,104063,6,17344
8,Round 9,119151,6,19859
9,Round 10,123253,6,20542
10,Round 11,175888,6,29315
11,Round 12,68231,6,11372
12,Round 13,116067,6,19345
13,Round 14,130010,6,21668
14,Round 15,112675,6,18779
15,Round 16,101879,6,16980
16,Round 17,118089,6,19682
17,Round 18,109954,6,18326
18,Round 19,112425,6,18738
19,Round 20,114351,6,19059
20,Round 21,118902,6,19817
21,Round 22,124075,6,20679
22,Finals,531214,7,75888
