, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,167000,9,18556,,,
1,Brunswick St,123500,9,13722,,,
2,Glenferrie Oval,82500,9,9167,,,
3,Junction Oval,203000,9,22556,,,
4,Kardinia Park,181200,9,20133,,,
5,Lake Oval,139000,9,15444,,,
6,M.C.G.,287201,9,31911,289658.0,4.0,72415.0
7,Princes Park,214000,9,23778,,,
8,Punt Rd,203000,9,22556,,,
9,Victoria Park,179800,9,19978,,,
10,Western Oval,124300,9,13811,,,
11,Windy Hill,197500,9,21944,,,
