, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,214000,9,23778,218577.0,9.0,24286.0,432577.0,18.0,24032.0,,,
1,Collingwood,179800,9,19978,211502.0,9.0,23500.0,391302.0,18.0,21739.0,,,
2,Essendon,197500,9,21944,259182.0,9.0,28798.0,456682.0,18.0,25371.0,161302.0,2.0,80651.0
3,Fitzroy,123500,9,13722,152611.0,9.0,16957.0,276111.0,18.0,15340.0,,,
4,Footscray,124300,9,13811,137015.0,9.0,15224.0,261315.0,18.0,14518.0,,,
5,Geelong,181200,9,20133,172894.0,9.0,19210.0,354094.0,18.0,19672.0,128356.0,2.0,64178.0
6,Hawthorn,82500,9,9167,94255.0,9.0,10473.0,176755.0,18.0,9820.0,,,
7,Melbourne,287201,9,31911,152000.0,9.0,16889.0,439201.0,18.0,24400.0,54817.0,1.0,54817.0
8,North Melbourne,167000,9,18556,218465.0,9.0,24274.0,385465.0,18.0,21415.0,234841.0,3.0,78280.0
9,Richmond,203000,9,22556,200000.0,9.0,22222.0,403000.0,18.0,22389.0,,,
10,South Melbourne,139000,9,15444,127000.0,9.0,14111.0,266000.0,18.0,14778.0,,,
11,St Kilda,203000,9,22556,158500.0,9.0,17611.0,361500.0,18.0,20083.0,,,
12,Totals,Home & Away:2102001 (19463),Finals:289658 (72415) ,Overall:2391659 (21354),,,,,,,,,
