, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Docklands,1525464,45,33899,,,
1,Football Park,840061,22,38185,109166.0,3.0,36389.0
2,Gabba,378526,12,31544,32432.0,1.0,32432.0
3,Kardinia Park,168210,8,21026,,,
4,M.C.G.,1543794,41,37654,222948.0,3.0,74316.0
5,Manuka Oval,24085,2,12043,,,
6,Princes Park,183095,8,22887,,,
7,S.C.G.,237810,9,26423,,,
8,Stadium Australia,149113,3,49704,71019.0,1.0,71019.0
9,Subiaco,756333,22,34379,42770.0,1.0,42770.0
10,York Park,66829,4,16707,,,
