, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,97437,9,10826,,,
1,Glenferrie Oval,149491,9,16610,,,
2,Junction Oval,125339,9,13927,,,
3,Kardinia Park,221247,10,22125,,,
4,Lake Oval,206425,10,20643,,,
5,M.C.G.,614583,19,32346,446988.0,4.0,111747.0
6,Moorabbin Oval,204977,9,22775,,,
7,Princes Park,241572,10,24157,,,
8,Victoria Park,284929,10,28493,,,
9,Waverley Park,390043,18,21669,,,
10,Western Oval,187974,10,18797,,,
11,Windy Hill,150920,9,16769,,,
