,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,147168,6,24528
1,Round 2,141322,6,23554
2,Round 3,139675,6,23279
3,Round 4,163736,6,27289
4,Round 5,117189,6,19532
5,Round 6,142201,6,23700
6,Round 7,138986,6,23164
7,Round 8,154974,6,25829
8,Round 9,117997,6,19666
9,Round 10,131921,6,21987
10,Round 11,151916,6,25319
11,Round 12,101446,6,16908
12,Round 13,113441,6,18907
13,Round 14,104602,6,17434
14,Round 15,123980,6,20663
15,Round 16,124672,6,20779
16,Round 17,130538,6,21756
17,Round 18,115127,6,19188
18,Round 19,138876,6,23146
19,Round 20,118285,6,19714
20,Round 21,127418,6,21236
21,Round 22,129467,6,21578
22,Finals,446988,4,111747
