, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,296731,11,26976,293605.0,11.0,26691.0,590336.0,22.0,26833.0,342749.0,3.0,114250.0
1,Collingwood,313049,11,28459,336649.0,11.0,30604.0,649698.0,22.0,29532.0,234534.0,2.0,117267.0
2,Essendon,177578,11,16143,221681.0,11.0,20153.0,399259.0,22.0,18148.0,,,
3,Fitzroy,165080,11,15007,203888.0,11.0,18535.0,368968.0,22.0,16771.0,,,
4,Footscray,198275,11,18025,220914.0,11.0,20083.0,419189.0,22.0,19054.0,,,
5,Geelong,247748,11,22523,258953.0,11.0,23541.0,506701.0,22.0,23032.0,,,
6,Hawthorn,189728,11,17248,239590.0,11.0,21781.0,429318.0,22.0,19514.0,,,
7,Melbourne,290439,11,26404,180254.0,11.0,16387.0,470693.0,22.0,21395.0,,,
8,North Melbourne,123641,11,11240,177214.0,11.0,16110.0,300855.0,22.0,13675.0,,,
9,Richmond,386512,11,35137,268907.0,11.0,24446.0,655419.0,22.0,29792.0,,,
10,South Melbourne,230447,11,20950,235070.0,11.0,21370.0,465517.0,22.0,21160.0,104239.0,1.0,104239.0
11,St Kilda,255709,11,23246,238212.0,11.0,21656.0,493921.0,22.0,22451.0,212454.0,2.0,106227.0
12,Totals,Home & Away:2874937 (21780),Finals:446988 (111747) ,Overall:3321925 (24426),,,,,,,,,
