,0,1,2,3
0,Highest Home & Away Crowds,,,
1,55740,Richmond v Hawthorn,M.C.G.,1970.0
2,55159,Carlton v Collingwood,Waverley Park,1970.0
3,46373,Richmond v Carlton,M.C.G.,1970.0
4,43435,Richmond v Geelong,M.C.G.,1970.0
5,41866,Richmond v Footscray,M.C.G.,1970.0
6,40973,Melbourne v Carlton,M.C.G.,1970.0
7,39959,Collingwood v Carlton,Victoria Park,1970.0
8,39451,Collingwood v South Melbourne,Victoria Park,1970.0
9,38617,Richmond v Fitzroy,M.C.G.,1970.0
10,38222,St Kilda v Collingwood,Moorabbin Oval,1970.0
11,38149,Richmond v St Kilda,M.C.G.,1970.0
12,36064,Melbourne v Richmond,M.C.G.,1970.0
13,36044,Melbourne v Collingwood,M.C.G.,1970.0
14,35654,Geelong v Collingwood,Kardinia Park,1970.0
15,35569,South Melbourne v Collingwood,Lake Oval,1970.0
16,35318,Collingwood v Richmond,Victoria Park,1970.0
17,34219,Melbourne v Essendon,M.C.G.,1970.0
18,32147,St Kilda v Richmond,Moorabbin Oval,1970.0
19,30757,Collingwood v St Kilda,Victoria Park,1970.0
20,29987,Carlton v North Melbourne,Princes Park,1970.0
