, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide,426806,11,38801,334274.0,11.0,30389.0,761080.0,22.0,34595.0,112577.0,2.0,56289.0
1,Brisbane Lions,320896,11,29172,321413.0,11.0,29219.0,642309.0,22.0,29196.0,79732.0,2.0,39866.0
2,Carlton,526177,11,47834,573582.0,11.0,52144.0,1099759.0,22.0,49989.0,32702.0,1.0,32702.0
3,Collingwood,587782,11,53435,602150.0,11.0,54741.0,1189932.0,22.0,54088.0,233655.0,3.0,77885.0
4,Essendon,554147,11,50377,535077.0,11.0,48643.0,1089224.0,22.0,49510.0,50393.0,1.0,50393.0
5,Fremantle,364589,11,33144,266419.0,11.0,24220.0,631008.0,22.0,28682.0,,,
6,Geelong,330759,11,30069,495188.0,11.0,45017.0,825947.0,22.0,37543.0,260516.0,3.0,86839.0
7,Hawthorn,435981,11,39635,456807.0,11.0,41528.0,892788.0,22.0,40581.0,,,
8,Melbourne,302872,11,27534,329704.0,11.0,29973.0,632576.0,22.0,28753.0,,,
9,North Melbourne,306987,11,27908,287540.0,11.0,26140.0,594527.0,22.0,27024.0,,,
10,Port Adelaide,267839,11,24349,295125.0,11.0,26830.0,562964.0,22.0,25589.0,,,
11,Richmond,474818,11,43165,394037.0,11.0,35822.0,868855.0,22.0,39493.0,,,
12,St Kilda,373397,11,33945,393812.0,11.0,35801.0,767209.0,22.0,34873.0,261709.0,3.0,87236.0
13,Sydney,335552,11,30505,343375.0,11.0,31216.0,678927.0,22.0,30860.0,,,
14,West Coast,400152,11,36377,322401.0,11.0,29309.0,722553.0,22.0,32843.0,,,
15,Western Bulldogs,361647,11,32877,419497.0,11.0,38136.0,781144.0,22.0,35507.0,199282.0,3.0,66427.0
16,Totals,Home & Away:6370401 (36195),Finals:615283 (68365) ,Overall:6985684 (37760),,,,,,,,,
