, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carrara,30580,3,10193,,,
1,Docklands,1701727,46,36994,,,
2,Football Park,694645,22,31575,50393.0,1.0,50393.0
3,Gabba,320896,11,29172,32702.0,1.0,32702.0
4,Kardinia Park,162815,8,20352,,,
5,M.C.G.,2258677,46,49102,532188.0,7.0,76027.0
6,Manuka Oval,19853,2,9927,,,
7,Marrara Oval,11306,1,11306,,,
8,S.C.G.,188054,7,26865,,,
9,Stadium Australia,147498,4,36875,,,
10,Subiaco,764741,22,34761,,,
11,York Park,69609,4,17402,,,
