, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,145000,9,16111,,,
1,Brunswick St,154500,9,17167,,,
2,Glenferrie Oval,201000,9,22333,,,
3,Junction Oval,220900,9,24544,,,
4,Kardinia Park,169057,9,18784,,,
5,Lake Oval,180360,9,20040,,,
6,M.C.G.,345049,9,38339,314101.0,4.0,78525.0
7,Princes Park,247730,9,27526,,,
8,Punt Rd,187500,9,20833,,,
9,Victoria Park,247183,9,27465,,,
10,Western Oval,239550,9,26617,,,
11,Windy Hill,214000,9,23778,,,
