,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,173165,6,28861
1,Round 2,151153,6,25192
2,Round 3,154365,6,25728
3,Round 4,147846,6,24641
4,Round 5,158849,6,26475
5,Round 6,144652,6,24109
6,Round 7,134465,6,22411
7,Round 8,142038,6,23673
8,Round 9,195931,6,32655
9,Round 10,122991,6,20499
10,Round 11,151276,6,25213
11,Round 12,136448,6,22741
12,Round 13,118494,6,19749
13,Round 14,123126,6,20521
14,Round 15,121213,6,20202
15,Round 16,102825,6,17138
16,Round 17,127505,6,21251
17,Round 18,145487,6,24248
18,Finals,314101,4,78525
