,0,1,2,3
0,Highest Home & Away Crowds,,,
1,49941,Melbourne v Footscray,M.C.G.,1957.0
2,48001,Melbourne v Geelong,M.C.G.,1957.0
3,47920,Melbourne v Essendon,M.C.G.,1957.0
4,44971,Melbourne v Collingwood,M.C.G.,1957.0
5,37000,St Kilda v South Melbourne,Junction Oval,1957.0
6,35751,Melbourne v Richmond,M.C.G.,1957.0
7,35682,Melbourne v St Kilda,M.C.G.,1957.0
8,35000,Essendon v Carlton,Windy Hill,1957.0
9,34878,Footscray v Carlton,Western Oval,1957.0
10,34844,Geelong v Footscray,Kardinia Park,1957.0
11,34742,Footscray v Collingwood,Western Oval,1957.0
12,34740,Carlton v Essendon,Princes Park,1957.0
13,33700,St Kilda v Essendon,Junction Oval,1957.0
14,33345,Collingwood v Carlton,Victoria Park,1957.0
15,32500,Collingwood v South Melbourne,Victoria Park,1957.0
16,32280,Collingwood v Richmond,Victoria Park,1957.0
17,32163,Melbourne v Hawthorn,M.C.G.,1957.0
18,31810,Carlton v Footscray,Princes Park,1957.0
19,31096,Carlton v Melbourne,Princes Park,1957.0
20,31000,Hawthorn v Essendon,Glenferrie Oval,1957.0
