,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,8848,Melbourne v Port Adelaide,Marrara Oval,2010.0
2,11080,Western Bulldogs v Port Adelaide,Marrara Oval,2010.0
3,14113,Port Adelaide v West Coast,Football Park,2010.0
4,14308,Western Bulldogs v Sydney,Manuka Oval,2010.0
5,14891,North Melbourne v Fremantle,Docklands,2010.0
6,15109,North Melbourne v Port Adelaide,Docklands,2010.0
7,15532,Hawthorn v Fremantle,York Park,2010.0
8,16167,Hawthorn v Adelaide,York Park,2010.0
9,16301,Hawthorn v North Melbourne,York Park,2010.0
10,16479,North Melbourne v Adelaide,Docklands,2010.0
11,16690,Hawthorn v Brisbane Lions,York Park,2010.0
12,16694,Port Adelaide v Richmond,Football Park,2010.0
13,18394,North Melbourne v West Coast,Docklands,2010.0
14,19100,North Melbourne v Brisbane Lions,Docklands,2010.0
15,19226,Richmond v Adelaide,M.C.G.,2010.0
16,20106,Port Adelaide v Sydney,Football Park,2010.0
17,21086,Port Adelaide v Melbourne,Football Park,2010.0
18,21205,Port Adelaide v North Melbourne,Football Park,2010.0
19,21287,Hawthorn v Port Adelaide,M.C.G.,2010.0
20,22340,Port Adelaide v Hawthorn,Football Park,2010.0
