,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,337109,8,42139
1,Round 2,317895,8,39737
2,Round 3,288819,8,36102
3,Round 4,299581,8,37448
4,Round 5,330837,8,41355
5,Round 6,347824,8,43478
6,Round 7,291023,8,36378
7,Round 8,245627,8,30703
8,Round 9,332530,8,41566
9,Round 10,251534,8,31442
10,Round 11,262521,8,32815
11,Round 12,293087,8,36636
12,Round 13,297036,8,37130
13,Round 14,288134,8,36017
14,Round 15,286068,8,35759
15,Round 16,284796,8,35600
16,Round 17,299822,8,37478
17,Round 18,281054,8,35132
18,Round 19,316037,8,39505
19,Round 20,291124,8,36391
20,Round 21,255239,8,31905
21,Round 22,298117,8,37265
22,Finals,650924,10,65092
