, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Docklands,1607458,49,32805,,,
1,Football Park,646887,22,29404,,,
2,Gabba,329264,11,29933,,,
3,Kardinia Park,173906,7,24844,,,
4,M.C.G.,2515421,47,53520,566609.0,8.0,70826.0
5,Manuka Oval,14308,1,14308,,,
6,Marrara Oval,19928,2,9964,,,
7,S.C.G.,231800,8,28975,,,
8,Stadium Australia,105625,3,35208,41596.0,1.0,41596.0
9,Subiaco,786527,22,35751,42719.0,1.0,42719.0
10,York Park,64690,4,16173,,,
