, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Bellerive Oval,25240,2,12620,,,
1,Blacktown,6875,1,6875,,,
2,Carrara,150100,11,13645,,,
3,Cazaly's Stadium,10961,1,10961,,,
4,Docklands,1484946,47,31595,,,
5,Football Park,624139,22,28370,76591.0,2.0,38296.0
6,Gabba,223781,11,20344,,,
7,Kardinia Park,127410,7,18201,,,
8,M.C.G.,2338886,47,49764,364411.0,5.0,72882.0
9,Manuka Oval,25292,3,8431,,,
10,Marrara Oval,15438,2,7719,,,
11,S.C.G.,206403,9,22934,,,
12,Stadium Australia,106595,3,35532,57156.0,1.0,57156.0
13,Subiaco,781357,22,35516,41790.0,1.0,41790.0
14,Sydney Showground,48703,6,8117,,,
15,York Park,62750,4,15688,,,
