,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,367792,9,40866
1,Round 2,310672,9,34519
2,Round 3,302659,9,33629
3,Round 4,300972,9,33441
4,Round 5,282328,9,31370
5,Round 6,254392,9,28266
6,Round 7,281893,9,31321
7,Round 8,303699,9,33744
8,Round 9,273277,9,30364
9,Round 10,247812,9,27535
10,Round 11,237640,6,39607
11,Round 12,139854,6,23309
12,Round 13,184006,6,30668
13,Round 14,310685,9,34521
14,Round 15,309624,9,34403
15,Round 16,240532,9,26726
16,Round 17,325416,9,36157
17,Round 18,223224,9,24803
18,Round 19,308526,9,34281
19,Round 20,268155,9,29795
20,Round 21,257944,9,28660
21,Round 22,228794,9,25422
22,Round 23,278980,9,30998
23,Finals,539948,9,59994
