, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide,405122,11,36829,254762.0,11.0,23160.0,659884.0,22.0,29995.0,145737.0,3.0,48579.0
1,Brisbane Lions,223781,11,20344,290599.0,11.0,26418.0,514380.0,22.0,23381.0,,,
2,Carlton,502936,11,45721,462398.0,11.0,42036.0,965334.0,22.0,43879.0,,,
3,Collingwood,657785,11,59799,549958.0,11.0,49996.0,1207743.0,22.0,54897.0,208278.0,3.0,69426.0
4,Essendon,524680,11,47698,470313.0,11.0,42756.0,994993.0,22.0,45227.0,,,
5,Fremantle,367248,11,33386,296016.0,11.0,26911.0,663264.0,22.0,30148.0,76202.0,2.0,38101.0
6,Geelong,346593,11,31508,414023.0,11.0,37638.0,760616.0,22.0,34573.0,44460.0,1.0,44460.0
7,Gold Coast,150100,11,13645,237189.0,11.0,21563.0,387289.0,22.0,17604.0,,,
8,Greater Western Sydney,119073,11,10825,230797.0,11.0,20982.0,349870.0,22.0,15903.0,,,
9,Hawthorn,375158,11,34105,515867.0,11.0,46897.0,891025.0,22.0,40501.0,254468.0,3.0,84823.0
10,Melbourne,315983,11,28726,302358.0,11.0,27487.0,618341.0,22.0,28106.0,,,
11,North Melbourne,271828,11,24712,295535.0,11.0,26867.0,567363.0,22.0,25789.0,41790.0,1.0,41790.0
12,Port Adelaide,219017,11,19911,234624.0,11.0,21329.0,453641.0,22.0,20620.0,,,
13,Richmond,454507,11,41319,416997.0,11.0,37909.0,871504.0,22.0,39614.0,,,
14,St Kilda,359670,11,32697,335626.0,11.0,30511.0,695296.0,22.0,31604.0,,,
15,Sydney,274795,11,24981,321030.0,11.0,29185.0,595825.0,22.0,27083.0,201688.0,3.0,67229.0
16,West Coast,414109,11,37646,340316.0,11.0,30938.0,754425.0,22.0,34292.0,107273.0,2.0,53637.0
17,Western Bulldogs,256491,11,23317,270468.0,11.0,24588.0,526959.0,22.0,23953.0,,,
18,Totals,Home & Away:6238876 (31509),Finals:539948 (59994) ,Overall:6778824 (32748),,,,,,,,,
