,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,6696,Greater Western Sydney v North Melbourne,Sydney Showground,2012.0
2,6714,Melbourne v Port Adelaide,Marrara Oval,2012.0
3,6811,Greater Western Sydney v Port Adelaide,Sydney Showground,2012.0
4,6875,Greater Western Sydney v West Coast,Blacktown,2012.0
5,7538,Greater Western Sydney v Richmond,Sydney Showground,2012.0
6,7561,Greater Western Sydney v Melbourne,Manuka Oval,2012.0
7,7669,Greater Western Sydney v Adelaide,Sydney Showground,2012.0
8,8102,Greater Western Sydney v Collingwood,Sydney Showground,2012.0
9,8603,Greater Western Sydney v Gold Coast,Manuka Oval,2012.0
10,8724,Western Bulldogs v Gold Coast,Marrara Oval,2012.0
11,9128,Greater Western Sydney v Western Bulldogs,Manuka Oval,2012.0
12,10170,Gold Coast v North Melbourne,Carrara,2012.0
13,10961,Richmond v Gold Coast,Cazaly's Stadium,2012.0
14,11127,North Melbourne v Greater Western Sydney,Bellerive Oval,2012.0
15,11169,Gold Coast v Sydney,Carrara,2012.0
16,11670,Gold Coast v Fremantle,Carrara,2012.0
17,11887,Greater Western Sydney v Essendon,Sydney Showground,2012.0
18,12416,Gold Coast v Port Adelaide,Carrara,2012.0
19,12534,Gold Coast v St Kilda,Carrara,2012.0
20,12790,Gold Coast v Adelaide,Carrara,2012.0
