,Date,Round,Total,Games,Ave.
10,1953-05-31,Round 11,133780,6,22297
11,1953-06-07,Round 12,131070,6,21845
12,1953-06-14,Round 13,117828,6,19638
13,1953-06-21,Round 14,112411,6,18735
14,1953-06-28,Round 15,120352,6,20059
15,1953-07-05,Round 16,77743,6,12957
16,1953-07-12,Round 17,88158,6,14693
17,1953-07-19,Round 18,102991,6,17165
18,1953-07-26,Finals,287533,4,71883
0,1954-03-22,Round 1,181848,6,30308
1,1954-03-29,Round 2,127000,6,21167
2,1954-04-05,Round 3,132500,6,22083
3,1954-04-12,Round 4,133424,6,22237
4,1954-04-19,Round 5,134747,6,22458
5,1954-04-26,Round 6,136500,6,22750
6,1954-05-03,Round 7,152025,6,25338
7,1954-05-10,Round 8,140000,6,23333
8,1954-05-17,Round 9,174698,6,29116
9,1954-05-24,Round 10,138000,6,23000
10,1954-05-31,Round 11,131180,6,21863
11,1954-06-07,Round 12,130500,6,21750
12,1954-06-14,Round 13,133656,6,22276
13,1954-06-21,Round 14,127729,6,21288
14,1954-06-28,Round 15,86000,6,14333
15,1954-07-05,Round 16,122670,6,20445
16,1954-07-12,Round 17,129809,6,21635
17,1954-07-19,Round 18,125515,6,20919
18,1954-07-26,Finals,239734,4,59934
0,1955-03-22,Round 1,145415,6,24236
1,1955-03-29,Round 2,142016,6,23669
2,1955-04-05,Round 3,149375,6,24896
3,1955-04-12,Round 4,135115,6,22519
4,1955-04-19,Round 5,135652,6,22609
5,1955-04-26,Round 6,134850,6,22475
6,1955-05-03,Round 7,133674,6,22279
7,1955-05-10,Round 8,144019,6,24003
8,1955-05-17,Round 9,171311,6,28552
9,1955-05-24,Round 10,120730,6,20122
10,1955-05-31,Round 11,129435,6,21573
11,1955-06-07,Round 12,116978,6,19496
12,1955-06-14,Round 13,101581,6,16930
13,1955-06-21,Round 14,125835,6,20973
14,1955-06-28,Round 15,103261,6,17210
15,1955-07-05,Round 16,144404,6,24067
16,1955-07-12,Round 17,115944,6,19324
17,1955-07-19,Round 18,118736,6,19789
18,1955-07-26,Finals,285807,4,71452
0,1956-03-22,Round 1,141617,6,23603
1,1956-03-29,Round 2,116132,6,19355
2,1956-04-05,Round 3,142665,6,23778
3,1956-04-12,Round 4,126605,6,21101
4,1956-04-19,Round 5,127654,6,21276
5,1956-04-26,Round 6,126500,6,21083
6,1956-05-03,Round 7,148515,6,24753
7,1956-05-10,Round 8,158992,6,26499
8,1956-05-17,Round 9,146240,6,24373
9,1956-05-24,Round 10,154070,6,25678
10,1956-05-31,Round 11,103366,6,17228
11,1956-06-07,Round 12,115715,6,19286
12,1956-06-14,Round 13,132436,6,22073
13,1956-06-21,Round 14,140642,6,23440
14,1956-06-28,Round 15,123239,6,20540
15,1956-07-05,Round 16,136366,6,22728
16,1956-07-12,Round 17,114533,6,19089
17,1956-07-19,Round 18,124967,6,20828
18,1956-07-26,Finals,381088,4,95272
0,1957-03-22,Round 1,173165,6,28861
1,1957-03-29,Round 2,151153,6,25192
2,1957-04-05,Round 3,154365,6,25728
3,1957-04-12,Round 4,147846,6,24641
4,1957-04-19,Round 5,158849,6,26475
5,1957-04-26,Round 6,144652,6,24109
6,1957-05-03,Round 7,134465,6,22411
7,1957-05-10,Round 8,142038,6,23673
8,1957-05-17,Round 9,195931,6,32655
9,1957-05-24,Round 10,122991,6,20499
10,1957-05-31,Round 11,151276,6,25213
11,1957-06-07,Round 12,136448,6,22741
12,1957-06-14,Round 13,118494,6,19749
13,1957-06-21,Round 14,123126,6,20521
14,1957-06-28,Round 15,121213,6,20202
15,1957-07-05,Round 16,102825,6,17138
16,1957-07-12,Round 17,127505,6,21251
17,1957-07-19,Round 18,145487,6,24248
18,1957-07-26,Finals,314101,4,78525
0,1958-03-22,Round 1,151645,6,25274
1,1958-03-29,Round 2,135537,6,22590
2,1958-04-05,Round 3,141636,6,23606
3,1958-04-12,Round 4,154015,6,25669
4,1958-04-19,Round 5,141836,6,23639
5,1958-04-26,Round 6,146979,6,24497
6,1958-05-03,Round 7,118590,6,19765
7,1958-05-10,Round 8,155930,6,25988
8,1958-05-17,Round 9,134360,6,22393
9,1958-05-24,Round 10,181756,6,30293
10,1958-05-31,Round 11,114901,6,19150
11,1958-06-07,Round 12,120935,6,20156
12,1958-06-14,Round 13,107500,6,17917
13,1958-06-21,Round 14,126079,6,21013
14,1958-06-28,Round 15,112974,6,18829
15,1958-07-05,Round 16,104482,6,17414
16,1958-07-12,Round 17,122997,6,20500
17,1958-07-19,Round 18,123327,6,20555
18,1958-07-26,Finals,321175,4,80294
0,1959-03-22,Round 1,160925,6,26821
1,1959-03-29,Round 2,158028,6,26338
2,1959-04-05,Round 3,128620,6,21437
3,1959-04-12,Round 4,142910,6,23818
4,1959-04-19,Round 5,134095,6,22349
5,1959-04-26,Round 6,135176,6,22529
6,1959-05-03,Round 7,147941,6,24657
7,1959-05-10,Round 8,147143,6,24524
8,1959-05-17,Round 9,114809,6,19135
9,1959-05-24,Round 10,125599,6,20933
10,1959-05-31,Round 11,132824,6,22137
11,1959-06-07,Round 12,131668,6,21945
12,1959-06-14,Round 13,96840,6,16140
13,1959-06-21,Round 14,130641,6,21774
14,1959-06-28,Round 15,103713,6,17286
15,1959-07-05,Round 16,133285,6,22214
16,1959-07-12,Round 17,131326,6,21888
17,1959-07-19,Round 18,127674,6,21279
18,1959-07-26,Finals,328422,4,82106
0,1960-03-22,Round 1,184125,6,30688
1,1960-03-29,Round 2,163335,6,27223
2,1960-04-05,Round 3,110637,6,18440
3,1960-04-12,Round 4,90926,6,15154
4,1960-04-19,Round 5,105702,6,17617
5,1960-04-26,Round 6,126830,6,21138
6,1960-05-03,Round 7,139444,6,23241
7,1960-05-10,Round 8,140511,6,23419
8,1960-05-17,Round 9,123128,6,20521
9,1960-05-24,Round 10,136660,6,22777
10,1960-05-31,Round 11,115478,6,19246
11,1960-06-07,Round 12,115768,6,19295
12,1960-06-14,Round 13,127851,6,21309
13,1960-06-21,Round 14,122110,6,20352
14,1960-06-28,Round 15,158631,6,26439
15,1960-07-05,Round 16,90667,6,15111
16,1960-07-12,Round 17,105867,6,17645
17,1960-07-19,Round 18,134787,6,22465
18,1960-07-26,Finals,323763,4,80941
0,1961-03-22,Round 1,150160,6,25027
1,1961-03-29,Round 2,159076,6,26513
2,1961-04-05,Round 3,171278,6,28546
3,1961-04-12,Round 4,153023,6,25504
4,1961-04-19,Round 5,151181,6,25197
5,1961-04-26,Round 6,170714,6,28452
6,1961-05-03,Round 7,139061,6,23177
7,1961-05-10,Round 8,200140,6,33357
8,1961-05-17,Round 9,110844,6,18474
9,1961-05-24,Round 10,125618,6,20936
10,1961-05-31,Round 11,139717,6,23286
11,1961-06-07,Round 12,108591,6,18099
12,1961-06-14,Round 13,142931,6,23822
13,1961-06-21,Round 14,131149,6,21858
14,1961-06-28,Round 15,128851,6,21475
15,1961-07-05,Round 16,154485,6,25748
16,1961-07-12,Round 17,155645,6,25941
17,1961-07-19,Round 18,134620,6,22437
18,1961-07-26,Finals,368208,4,92052
0,1962-03-22,Round 1,207952,6,34659
1,1962-03-29,Round 2,119078,6,19846
2,1962-04-05,Round 3,170084,6,28347
3,1962-04-12,Round 4,152565,6,25428
4,1962-04-19,Round 5,151324,6,25221
5,1962-04-26,Round 6,149186,6,24864
6,1962-05-03,Round 7,172067,6,28678
7,1962-05-10,Round 8,137240,6,22873
8,1962-05-17,Round 9,169210,6,28202
9,1962-05-24,Round 10,186918,6,31153
10,1962-05-31,Round 11,145461,6,24244
11,1962-06-07,Round 12,128137,6,21356
12,1962-06-14,Round 13,139948,6,23325
13,1962-06-21,Round 14,124845,6,20808
14,1962-06-28,Round 15,148776,6,24796
15,1962-07-05,Round 16,132665,6,22111
16,1962-07-12,Round 17,139154,6,23192
17,1962-07-19,Round 18,145599,6,24267
18,1962-07-26,Finals,463578,5,92716
0,1963-03-22,Round 1,174640,6,29107
1,1963-03-29,Round 2,214484,6,35747
2,1963-04-05,Round 3,145818,6,24303
3,1963-04-12,Round 4,163836,6,27306
4,1963-04-19,Round 5,144263,6,24044
5,1963-04-26,Round 6,174050,6,29008
6,1963-05-03,Round 7,150767,6,25128
7,1963-05-10,Round 8,212698,6,35450
8,1963-05-17,Round 9,133700,6,22283
9,1963-05-24,Round 10,139131,6,23189
10,1963-05-31,Round 11,105279,6,17547
11,1963-06-07,Round 12,151961,6,25327
12,1963-06-14,Round 13,139960,6,23327
13,1963-06-21,Round 14,159206,6,26534
14,1963-06-28,Round 15,118983,6,19831
15,1963-07-05,Round 16,144108,6,24018
16,1963-07-12,Round 17,127508,6,21251
17,1963-07-19,Round 18,138141,6,23024
18,1963-07-26,Finals,368140,4,92035
0,1964-03-22,Round 1,192283,6,32047
1,1964-03-29,Round 2,162716,6,27119
2,1964-04-05,Round 3,150120,6,25020
3,1964-04-12,Round 4,155009,6,25835
4,1964-04-19,Round 5,145680,6,24280
5,1964-04-26,Round 6,166172,6,27695
6,1964-05-03,Round 7,156896,6,26149
7,1964-05-10,Round 8,138301,6,23050
8,1964-05-17,Round 9,197778,6,32963
9,1964-05-24,Round 10,135645,6,22608
10,1964-05-31,Round 11,94795,6,15799
11,1964-06-07,Round 12,120574,6,20096
12,1964-06-14,Round 13,125677,6,20946
13,1964-06-21,Round 14,100896,6,16816
14,1964-06-28,Round 15,100117,6,16686
15,1964-07-05,Round 16,149357,6,24893
16,1964-07-12,Round 17,119749,6,19958
17,1964-07-19,Round 18,125200,6,20867
18,1964-07-26,Finals,374803,4,93701
0,1965-03-22,Round 1,178159,6,29693
1,1965-03-29,Round 2,149545,6,24924
2,1965-04-05,Round 3,150008,6,25001
3,1965-04-12,Round 4,99621,6,16604
4,1965-04-19,Round 5,165880,6,27647
5,1965-04-26,Round 6,147973,6,24662
6,1965-05-03,Round 7,149608,6,24935
7,1965-05-10,Round 8,145371,6,24229
8,1965-05-17,Round 9,195759,6,32627
9,1965-05-24,Round 10,150969,6,25162
10,1965-05-31,Round 11,147741,6,24624
11,1965-06-07,Round 12,112552,6,18759
12,1965-06-14,Round 13,121925,6,20321
13,1965-06-21,Round 14,127655,6,21276
14,1965-06-28,Round 15,104326,6,17388
15,1965-07-05,Round 16,146521,6,24420
16,1965-07-12,Round 17,137697,6,22950
17,1965-07-19,Round 18,117388,6,19565
18,1965-07-26,Finals,388460,4,97115
0,1966-03-22,Round 1,219511,6,36585
1,1966-03-29,Round 2,133189,6,22198
2,1966-04-05,Round 3,145213,6,24202
3,1966-04-12,Round 4,166074,6,27679
4,1966-04-19,Round 5,138954,6,23159
5,1966-04-26,Round 6,145282,6,24214
6,1966-05-03,Round 7,135711,6,22619
7,1966-05-10,Round 8,177007,6,29501
8,1966-05-17,Round 9,142277,6,23713
9,1966-05-24,Round 10,109121,6,18187
10,1966-05-31,Round 11,137106,6,22851
11,1966-06-07,Round 12,105410,6,17568
12,1966-06-14,Round 13,117629,6,19605
13,1966-06-21,Round 14,139339,6,23223
14,1966-06-28,Round 15,157468,6,26245
15,1966-07-05,Round 16,130738,6,21790
16,1966-07-12,Round 17,134435,6,22406
17,1966-07-19,Round 18,133179,6,22197
18,1966-07-26,Finals,384887,4,96222
0,1967-03-22,Round 1,175207,6,29201
1,1967-03-29,Round 2,144188,6,24031
2,1967-04-05,Round 3,137882,6,22980
3,1967-04-12,Round 4,132050,6,22008
4,1967-04-19,Round 5,155069,6,25845
5,1967-04-26,Round 6,146729,6,24455
6,1967-05-03,Round 7,139508,6,23251
7,1967-05-10,Round 8,170526,6,28421
8,1967-05-17,Round 9,155609,6,25935
9,1967-05-24,Round 10,128042,6,21340
10,1967-05-31,Round 11,102425,6,17071
11,1967-06-07,Round 12,126408,6,21068
12,1967-06-14,Round 13,118851,6,19809
13,1967-06-21,Round 14,105798,6,17633
14,1967-06-28,Round 15,125687,6,20948
15,1967-07-05,Round 16,121475,6,20246
16,1967-07-12,Round 17,114633,6,19106
17,1967-07-19,Round 18,127915,6,21319
18,1967-07-26,Finals,395704,4,98926
0,1968-03-22,Round 1,150388,6,25065
1,1968-03-29,Round 2,134761,6,22460
2,1968-04-05,Round 3,161645,6,26941
3,1968-04-12,Round 4,116578,6,19430
4,1968-04-19,Round 5,118178,6,19696
5,1968-04-26,Round 6,100157,6,16693
6,1968-05-03,Round 7,100599,6,16767
7,1968-05-10,Round 8,146408,6,24401
8,1968-05-17,Round 9,126676,6,21113
9,1968-05-24,Round 10,111887,6,18648
10,1968-05-31,Round 11,103894,6,17316
11,1968-06-07,Round 12,117653,6,19609
12,1968-06-14,Round 13,107198,6,17866
13,1968-06-21,Round 14,123911,6,20652
14,1968-06-28,Round 15,118095,6,19683
15,1968-07-05,Round 16,103240,6,17207
16,1968-07-12,Round 17,101604,6,16934
17,1968-07-19,Round 18,139904,6,23317
18,1968-07-26,Round 19,112793,6,18799
19,1968-08-02,Round 20,130336,6,21723
20,1968-08-09,Finals,425727,4,106432
0,1969-03-22,Round 1,186592,6,31099
1,1969-03-29,Round 2,121991,6,20332
2,1969-04-05,Round 3,108413,6,18069
3,1969-04-12,Round 4,166002,6,27667
4,1969-04-19,Round 5,130485,6,21748
5,1969-04-26,Round 6,123598,6,20600
6,1969-05-03,Round 7,113269,6,18878
7,1969-05-10,Round 8,133065,6,22178
8,1969-05-17,Round 9,83905,6,13984
9,1969-05-24,Round 10,166451,6,27742
10,1969-05-31,Round 11,115676,6,19279
11,1969-06-07,Round 12,115626,6,19271
12,1969-06-14,Round 13,114400,6,19067
13,1969-06-21,Round 14,97397,6,16233
14,1969-06-28,Round 15,125842,6,20974
15,1969-07-05,Round 16,130164,6,21694
16,1969-07-12,Round 17,114834,6,19139
17,1969-07-19,Round 18,104229,6,17372
18,1969-07-26,Round 19,123600,6,20600
19,1969-08-02,Round 20,111256,6,18543
20,1969-08-09,Finals,436221,4,109055
0,1970-03-22,Round 1,147168,6,24528
1,1970-03-29,Round 2,141322,6,23554
2,1970-04-05,Round 3,139675,6,23279
3,1970-04-12,Round 4,163736,6,27289
4,1970-04-19,Round 5,117189,6,19532
5,1970-04-26,Round 6,142201,6,23700
6,1970-05-03,Round 7,138986,6,23164
7,1970-05-10,Round 8,154974,6,25829
8,1970-05-17,Round 9,117997,6,19666
9,1970-05-24,Round 10,131921,6,21987
10,1970-05-31,Round 11,151916,6,25319
11,1970-06-07,Round 12,101446,6,16908
12,1970-06-14,Round 13,113441,6,18907
13,1970-06-21,Round 14,104602,6,17434
14,1970-06-28,Round 15,123980,6,20663
15,1970-07-05,Round 16,124672,6,20779
16,1970-07-12,Round 17,130538,6,21756
17,1970-07-19,Round 18,115127,6,19188
18,1970-07-26,Round 19,138876,6,23146
19,1970-08-02,Round 20,118285,6,19714
20,1970-08-09,Round 21,127418,6,21236
21,1970-08-16,Round 22,129467,6,21578
22,1970-08-23,Finals,446988,4,111747
0,1971-03-22,Round 1,135326,6,22554
1,1971-03-29,Round 2,190816,6,31803
2,1971-04-05,Round 3,137575,6,22929
3,1971-04-12,Round 4,134722,6,22454
4,1971-04-19,Round 5,116538,6,19423
5,1971-04-26,Round 6,162707,6,27118
6,1971-05-03,Round 7,133497,6,22250
7,1971-05-10,Round 8,162477,6,27080
8,1971-05-17,Round 9,127296,6,21216
9,1971-05-24,Round 10,144148,6,24025
10,1971-05-31,Round 11,172077,6,28680
11,1971-06-07,Round 12,98922,6,16487
12,1971-06-14,Round 13,116362,6,19394
13,1971-06-21,Round 14,119995,6,19999
14,1971-06-28,Round 15,115860,6,19310
15,1971-07-05,Round 16,92772,6,15462
16,1971-07-12,Round 17,102138,6,17023
17,1971-07-19,Round 18,116425,6,19404
18,1971-07-26,Round 19,136806,6,22801
19,1971-08-02,Round 20,122998,6,20500
20,1971-08-09,Round 21,144258,6,24043
21,1971-08-16,Round 22,122442,6,20407
22,1971-08-23,Finals,420279,4,105070
0,1972-03-22,Round 1,195724,6,32621
1,1972-03-29,Round 2,129829,6,21638
2,1972-04-05,Round 3,148704,6,24784
3,1972-04-12,Round 4,135887,6,22648
4,1972-04-19,Round 5,157442,6,26240
5,1972-04-26,Round 6,150739,6,25123
6,1972-05-03,Round 7,132659,6,22110
7,1972-05-10,Round 8,128729,6,21455
8,1972-05-17,Round 9,125744,6,20957
9,1972-05-24,Round 10,132345,6,22058
10,1972-05-31,Round 11,151885,6,25314
11,1972-06-07,Round 12,137870,6,22978
12,1972-06-14,Round 13,111430,6,18572
13,1972-06-21,Round 14,132877,6,22146
14,1972-06-28,Round 15,110509,6,18418
15,1972-07-05,Round 16,121914,6,20319
16,1972-07-12,Round 17,126360,6,21060
17,1972-07-19,Round 18,122764,6,20461
18,1972-07-26,Round 19,97092,6,16182
19,1972-08-02,Round 20,126879,6,21147
20,1972-08-09,Round 21,124378,6,20730
21,1972-08-16,Round 22,133159,6,22193
22,1972-08-23,Finals,591929,7,84561
0,1973-03-22,Round 1,153911,6,25652
1,1973-03-29,Round 2,136987,6,22831
2,1973-04-05,Round 3,170662,6,28444
3,1973-04-12,Round 4,183648,6,30608
4,1973-04-19,Round 5,128512,6,21419
5,1973-04-26,Round 6,136552,6,22759
6,1973-05-03,Round 7,132433,6,22072
7,1973-05-10,Round 8,124857,6,20810
8,1973-05-17,Round 9,165647,6,27608
9,1973-05-24,Round 10,101691,6,16949
10,1973-05-31,Round 11,128748,6,21458
11,1973-06-07,Round 12,113576,6,18929
12,1973-06-14,Round 13,103232,6,17205
13,1973-06-21,Round 14,98111,6,16352
14,1973-06-28,Round 15,112257,6,18710
15,1973-07-05,Round 16,116118,6,19353
16,1973-07-12,Round 17,124378,6,20730
17,1973-07-19,Round 18,123624,6,20604
18,1973-07-26,Round 19,112952,6,18825
19,1973-08-02,Round 20,113711,6,18952
20,1973-08-09,Round 21,151028,6,25171
21,1973-08-16,Round 22,104059,6,17343
22,1973-08-23,Finals,501954,6,83659
0,1974-03-22,Round 1,128438,6,21406
1,1974-03-29,Round 2,152209,6,25368
2,1974-04-05,Round 3,134186,6,22364
3,1974-04-12,Round 4,155369,6,25895
4,1974-04-19,Round 5,135999,6,22667
5,1974-04-26,Round 6,128910,6,21485
6,1974-05-03,Round 7,128957,6,21493
7,1974-05-10,Round 8,116293,6,19382
8,1974-05-17,Round 9,150508,6,25085
9,1974-05-24,Round 10,111630,6,18605
10,1974-05-31,Round 11,172140,6,28690
11,1974-06-07,Round 12,102706,6,17118
12,1974-06-14,Round 13,111713,6,18619
13,1974-06-21,Round 14,106557,6,17760
14,1974-06-28,Round 15,95038,6,15840
15,1974-07-05,Round 16,123969,6,20662
16,1974-07-12,Round 17,91383,6,15231
17,1974-07-19,Round 18,112654,6,18776
18,1974-07-26,Round 19,128711,6,21452
19,1974-08-02,Round 20,121275,6,20213
20,1974-08-09,Round 21,129092,6,21515
21,1974-08-16,Round 22,125916,6,20986
22,1974-08-23,Finals,479947,6,79991
0,1975-03-22,Round 1,115783,6,19297
1,1975-03-29,Round 2,140529,6,23422
2,1975-04-05,Round 3,136247,6,22708
3,1975-04-12,Round 4,188197,6,31366
4,1975-04-19,Round 5,135198,6,22533
5,1975-04-26,Round 6,126093,6,21016
6,1975-05-03,Round 7,123104,6,20517
7,1975-05-10,Round 8,123745,6,20624
8,1975-05-17,Round 9,126697,6,21116
9,1975-05-24,Round 10,135134,6,22522
10,1975-05-31,Round 11,160473,6,26746
11,1975-06-07,Round 12,108120,6,18020
12,1975-06-14,Round 13,96115,6,16019
13,1975-06-21,Round 14,107518,6,17920
14,1975-06-28,Round 15,100785,6,16798
15,1975-07-05,Round 16,100540,6,16757
16,1975-07-12,Round 17,149436,6,24906
17,1975-07-19,Round 18,101092,6,16849
18,1975-07-26,Round 19,124236,6,20706
19,1975-08-02,Round 20,135415,6,22569
20,1975-08-09,Round 21,99401,6,16567
21,1975-08-16,Round 22,121907,6,20318
22,1975-08-23,Finals,450251,6,75042
0,1976-03-22,Round 1,151274,6,25212
1,1976-03-29,Round 2,130410,6,21735
2,1976-04-05,Round 3,168704,6,28117
3,1976-04-12,Round 4,138199,6,23033
4,1976-04-19,Round 5,128046,6,21341
5,1976-04-26,Round 6,123889,6,20648
6,1976-05-03,Round 7,151877,6,25313
7,1976-05-10,Round 8,101563,6,16927
8,1976-05-17,Round 9,133338,6,22223
9,1976-05-24,Round 10,138835,6,23139
10,1976-05-31,Round 11,174180,6,29030
11,1976-06-07,Round 12,113228,6,18871
12,1976-06-14,Round 13,129974,6,21662
13,1976-06-21,Round 14,120886,6,20148
14,1976-06-28,Round 15,130215,6,21703
15,1976-07-05,Round 16,114975,6,19163
16,1976-07-12,Round 17,120761,6,20127
17,1976-07-19,Round 18,118673,6,19779
18,1976-07-26,Round 19,100792,6,16799
19,1976-08-02,Round 20,124881,6,20814
20,1976-08-09,Round 21,115708,6,19285
21,1976-08-16,Round 22,132704,6,22117
22,1976-08-23,Finals,425358,6,70893
0,1977-03-22,Round 1,131533,6,21922
1,1977-03-29,Round 2,157972,6,26329
2,1977-04-05,Round 3,128597,6,21433
3,1977-04-12,Round 4,195246,6,32541
4,1977-04-19,Round 5,116592,6,19432
5,1977-04-26,Round 6,159782,6,26630
6,1977-05-03,Round 7,134272,6,22379
7,1977-05-10,Round 8,104063,6,17344
8,1977-05-17,Round 9,119151,6,19859
9,1977-05-24,Round 10,123253,6,20542
10,1977-05-31,Round 11,175888,6,29315
11,1977-06-07,Round 12,68231,6,11372
12,1977-06-14,Round 13,116067,6,19345
13,1977-06-21,Round 14,130010,6,21668
14,1977-06-28,Round 15,112675,6,18779
15,1977-07-05,Round 16,101879,6,16980
16,1977-07-12,Round 17,118089,6,19682
17,1977-07-19,Round 18,109954,6,18326
18,1977-07-26,Round 19,112425,6,18738
19,1977-08-02,Round 20,114351,6,19059
20,1977-08-09,Round 21,118902,6,19817
21,1977-08-16,Round 22,124075,6,20679
22,1977-08-23,Finals,531214,7,75888
0,1978-03-22,Round 1,149973,6,24996
1,1978-03-29,Round 2,125327,6,20888
2,1978-04-05,Round 3,146955,6,24493
3,1978-04-12,Round 4,142305,6,23718
4,1978-04-19,Round 5,163523,6,27254
5,1978-04-26,Round 6,134016,6,22336
6,1978-05-03,Round 7,120587,6,20098
7,1978-05-10,Round 8,131952,6,21992
8,1978-05-17,Round 9,146622,6,24437
9,1978-05-24,Round 10,179852,6,29975
10,1978-05-31,Round 11,134288,6,22381
11,1978-06-07,Round 12,122366,6,20394
12,1978-06-14,Round 13,126195,6,21033
13,1978-06-21,Round 14,141047,6,23508
14,1978-06-28,Round 15,105417,6,17570
15,1978-07-05,Round 16,135588,6,22598
16,1978-07-12,Round 17,145307,6,24218
17,1978-07-19,Round 18,136289,6,22715
18,1978-07-26,Round 19,107985,6,17998
19,1978-08-02,Round 20,159728,6,26621
20,1978-08-09,Round 21,122664,6,20444
21,1978-08-16,Round 22,146886,6,24481
22,1978-08-23,Finals,453143,6,75524
0,1979-03-22,Round 1,143178,6,23863
1,1979-03-29,Round 2,184096,6,30683
2,1979-04-05,Round 3,143840,6,23973
3,1979-04-12,Round 4,181275,6,30213
4,1979-04-19,Round 5,140972,6,23495
5,1979-04-26,Round 6,132561,6,22094
6,1979-05-03,Round 7,147101,6,24517
7,1979-05-10,Round 8,119977,6,19996
8,1979-05-17,Round 9,131685,6,21948
9,1979-05-24,Round 10,154066,6,25678
10,1979-05-31,Round 11,182431,6,30405
11,1979-06-07,Round 12,157247,6,26208
12,1979-06-14,Round 13,104646,6,17441
13,1979-06-21,Round 14,150876,6,25146
14,1979-06-28,Round 15,141292,6,23549
15,1979-07-05,Round 16,110009,6,18335
16,1979-07-12,Round 17,131252,6,21875
17,1979-07-19,Round 18,134335,6,22389
18,1979-07-26,Round 19,100175,6,16696
19,1979-08-02,Round 20,139478,6,23246
20,1979-08-09,Round 21,136898,6,22816
21,1979-08-16,Round 22,129555,6,21593
22,1979-08-23,Finals,477336,6,79556
0,1980-03-22,Round 1,153278,6,25546
1,1980-03-29,Round 2,181873,6,30312
2,1980-04-05,Round 3,156701,6,26117
3,1980-04-12,Round 4,144201,6,24034
4,1980-04-19,Round 5,206670,6,34445
5,1980-04-26,Round 6,153053,6,25509
6,1980-05-03,Round 7,131403,6,21901
7,1980-05-10,Round 8,178338,6,29723
8,1980-05-17,Round 9,146574,6,24429
9,1980-05-24,Round 10,174350,6,29058
10,1980-05-31,Round 11,142208,6,23701
11,1980-06-07,Round 12,180060,6,30010
12,1980-06-14,Round 13,148932,6,24822
13,1980-06-21,Round 14,138449,6,23075
14,1980-06-28,Round 15,134578,6,22430
15,1980-07-05,Round 16,114772,6,19129
16,1980-07-12,Round 17,168837,6,28140
17,1980-07-19,Round 18,97195,6,16199
18,1980-07-26,Round 19,121291,6,20215
19,1980-08-02,Round 20,137002,6,22834
20,1980-08-09,Round 21,123883,6,20647
21,1980-08-16,Round 22,146481,6,24414
22,1980-08-23,Finals,490788,6,81798
0,1981-03-22,Round 1,191570,6,31928
1,1981-03-29,Round 2,145971,6,24329
2,1981-04-05,Round 3,173556,6,28926
3,1981-04-12,Round 4,199172,6,33195
4,1981-04-19,Round 5,170793,6,28466
5,1981-04-26,Round 6,156263,6,26044
6,1981-05-03,Round 7,96640,6,16107
7,1981-05-10,Round 8,176068,6,29345
8,1981-05-17,Round 9,150099,6,25017
9,1981-05-24,Round 10,131313,6,21886
10,1981-05-31,Round 11,230970,6,38495
11,1981-06-07,Round 12,135735,6,22623
12,1981-06-14,Round 13,127592,6,21265
13,1981-06-21,Round 14,145282,6,24214
14,1981-06-28,Round 15,116028,6,19338
15,1981-07-05,Round 16,124370,6,20728
16,1981-07-12,Round 17,137657,6,22943
17,1981-07-19,Round 18,155802,6,25967
18,1981-07-26,Round 19,110556,6,18426
19,1981-08-02,Round 20,158129,6,26355
20,1981-08-09,Round 21,120281,6,20047
21,1981-08-16,Round 22,200176,6,33363
22,1981-08-23,Finals,476208,6,79368
0,1982-03-22,Round 1,181021,6,30170
1,1982-03-29,Round 2,181324,6,30221
2,1982-04-05,Round 3,211199,6,35200
3,1982-04-12,Round 4,166913,6,27819
4,1982-04-19,Round 5,128129,6,21355
5,1982-04-26,Round 6,154580,6,25763
6,1982-05-03,Round 7,140991,6,23499
7,1982-05-10,Round 8,136470,6,22745
8,1982-05-17,Round 9,131092,6,21849
9,1982-05-24,Round 10,171639,6,28607
10,1982-05-31,Round 11,134582,6,22430
11,1982-06-07,Round 12,175993,6,29332
12,1982-06-14,Round 13,152671,6,25445
13,1982-06-21,Round 14,140892,6,23482
14,1982-06-28,Round 15,151359,6,25227
15,1982-07-05,Round 16,145277,6,24213
16,1982-07-12,Round 17,112008,6,18668
17,1982-07-19,Round 18,113729,6,18955
18,1982-07-26,Round 19,110939,6,18490
19,1982-08-02,Round 20,147665,6,24611
20,1982-08-09,Round 21,127033,6,21172
21,1982-08-16,Round 22,148778,6,24796
22,1982-08-23,Finals,417272,6,69545
0,1983-03-22,Round 1,165187,6,27531
1,1983-03-29,Round 2,165208,6,27535
2,1983-04-05,Round 3,163886,6,27314
3,1983-04-12,Round 4,129832,6,21639
4,1983-04-19,Round 5,193535,6,32256
5,1983-04-26,Round 6,152022,6,25337
6,1983-05-03,Round 7,154538,6,25756
7,1983-05-10,Round 8,166595,6,27766
8,1983-05-17,Round 9,130744,6,21791
9,1983-05-24,Round 10,141321,6,23554
10,1983-05-31,Round 11,151366,6,25228
11,1983-06-07,Round 12,186192,6,31032
12,1983-06-14,Round 13,138447,6,23075
13,1983-06-21,Round 14,102972,6,17162
14,1983-06-28,Round 15,114100,6,19017
15,1983-07-05,Round 16,149608,6,24935
16,1983-07-12,Round 17,136976,6,22829
17,1983-07-19,Round 18,109357,6,18226
18,1983-07-26,Round 19,159050,6,26508
19,1983-08-02,Round 20,134310,6,22385
