,Date,Round,Total,Games,Ave.
12,1928-06-14,Round 13,102500,6,17083
13,1928-06-21,Round 14,94562,6,15760
14,1928-06-28,Round 15,90000,6,15000
15,1928-07-05,Round 16,89547,6,14925
16,1928-07-12,Round 17,94000,6,15667
17,1928-07-19,Round 18,77609,6,12935
18,1928-07-26,Finals,200005,4,50001
0,1929-03-22,Round 1,85843,6,14307
1,1929-03-29,Round 2,113270,6,18878
2,1929-04-05,Round 3,114920,6,19153
3,1929-04-12,Round 4,102499,6,17083
4,1929-04-19,Round 5,107500,6,17917
5,1929-04-26,Round 6,124354,6,20726
6,1929-05-03,Round 7,104000,6,17333
7,1929-05-10,Round 8,91591,6,15265
8,1929-05-17,Round 9,98000,6,16333
9,1929-05-24,Round 10,83048,6,13841
10,1929-05-31,Round 11,80500,6,13417
11,1929-06-07,Round 12,99000,6,16500
12,1929-06-14,Round 13,84334,6,14056
13,1929-06-21,Round 14,73500,6,12250
14,1929-06-28,Round 15,80936,6,13489
15,1929-07-05,Round 16,73391,6,12232
16,1929-07-12,Round 17,79000,6,13167
17,1929-07-19,Round 18,82316,6,13719
18,1929-07-26,Finals,233539,4,58385
0,1930-03-22,Round 1,120000,6,20000
1,1930-03-29,Round 2,117409,6,19568
2,1930-04-05,Round 3,108000,6,18000
3,1930-04-12,Round 4,107662,6,17944
4,1930-04-19,Round 5,101475,6,16913
5,1930-04-26,Round 6,114000,6,19000
6,1930-05-03,Round 7,94279,6,15713
7,1930-05-10,Round 8,92000,6,15333
8,1930-05-17,Round 9,106344,6,17724
9,1930-05-24,Round 10,101000,6,16833
10,1930-05-31,Round 11,70723,6,11787
11,1930-06-07,Round 12,83000,6,13833
12,1930-06-14,Round 13,88232,6,14705
13,1930-06-21,Round 14,70000,6,11667
14,1930-06-28,Round 15,90981,6,15164
15,1930-07-05,Round 16,87000,6,14500
16,1930-07-12,Round 17,88853,6,14809
17,1930-07-19,Round 18,61000,6,10167
18,1930-07-26,Finals,174720,4,43680
0,1931-03-22,Round 1,103000,6,17167
1,1931-03-29,Round 2,105500,6,17583
2,1931-04-05,Round 3,105767,6,17628
3,1931-04-12,Round 4,104500,6,17417
4,1931-04-19,Round 5,100244,6,16707
5,1931-04-26,Round 6,108000,6,18000
6,1931-05-03,Round 7,101686,6,16948
7,1931-05-10,Round 8,84000,6,14000
8,1931-05-17,Round 9,82826,6,13804
9,1931-05-24,Round 10,61000,6,10167
10,1931-05-31,Round 11,91258,6,15210
11,1931-06-07,Round 12,89500,6,14917
12,1931-06-14,Round 13,83828,6,13971
13,1931-06-21,Round 14,84250,6,14042
14,1931-06-28,Round 15,54614,6,9102
15,1931-07-05,Round 16,64500,6,10750
16,1931-07-12,Round 17,91444,6,15241
17,1931-07-19,Round 18,72500,6,12083
18,1931-07-26,Finals,196858,4,49215
0,1932-03-22,Round 1,125000,6,20833
1,1932-03-29,Round 2,108500,6,18083
2,1932-04-05,Round 3,106000,6,17667
3,1932-04-12,Round 4,98000,6,16333
4,1932-04-19,Round 5,109000,6,18167
5,1932-04-26,Round 6,94500,6,15750
6,1932-05-03,Round 7,98000,6,16333
7,1932-05-10,Round 8,86000,6,14333
8,1932-05-17,Round 9,84747,6,14125
9,1932-05-24,Round 10,73307,6,12218
10,1932-05-31,Round 11,91000,6,15167
11,1932-06-07,Round 12,93283,6,15547
12,1932-06-14,Round 13,88000,6,14667
13,1932-06-21,Round 14,81486,6,13581
14,1932-06-28,Round 15,77500,6,12917
15,1932-07-05,Round 16,84746,6,14124
16,1932-07-12,Round 17,80000,6,13333
17,1932-07-19,Round 18,67198,6,11200
18,1932-07-26,Finals,230706,4,57677
0,1933-03-22,Round 1,117083,6,19514
1,1933-03-29,Round 2,113000,6,18833
2,1933-04-05,Round 3,59979,6,9997
3,1933-04-12,Round 4,111000,6,18500
4,1933-04-19,Round 5,105029,6,17505
5,1933-04-26,Round 6,127000,6,21167
6,1933-05-03,Round 7,111520,6,18587
7,1933-05-10,Round 8,101647,6,16941
8,1933-05-17,Round 9,91000,6,15167
9,1933-05-24,Round 10,92000,6,15333
10,1933-05-31,Round 11,101377,6,16896
11,1933-06-07,Round 12,95250,6,15875
12,1933-06-14,Round 13,93249,6,15542
13,1933-06-21,Round 14,80500,6,13417
14,1933-06-28,Round 15,80962,6,13494
15,1933-07-05,Round 16,79000,6,13167
16,1933-07-12,Round 17,82577,6,13763
17,1933-07-19,Round 18,87000,6,14500
18,1933-07-26,Finals,213407,4,53352
0,1934-03-22,Round 1,129000,6,21500
1,1934-03-29,Round 2,126342,6,21057
2,1934-04-05,Round 3,114000,6,19000
3,1934-04-12,Round 4,120869,6,20145
4,1934-04-19,Round 5,126500,6,21083
5,1934-04-26,Round 6,110102,6,18350
6,1934-05-03,Round 7,98200,6,16367
7,1934-05-10,Round 8,94000,6,15667
8,1934-05-17,Round 9,82807,6,13801
9,1934-05-24,Round 10,92500,6,15417
10,1934-05-31,Round 11,88285,6,14714
11,1934-06-07,Round 12,93805,6,15634
12,1934-06-14,Round 13,84000,6,14000
13,1934-06-21,Round 14,77163,6,12861
14,1934-06-28,Round 15,81500,6,13583
15,1934-07-05,Round 16,67011,6,11169
16,1934-07-12,Round 17,85500,6,14250
17,1934-07-19,Round 18,44232,6,7372
18,1934-07-26,Finals,183691,4,45923
0,1935-03-22,Round 1,113617,6,18936
1,1935-03-29,Round 2,133500,6,22250
2,1935-04-05,Round 3,112288,6,18715
3,1935-04-12,Round 4,104000,6,17333
4,1935-04-19,Round 5,116757,6,19460
5,1935-04-26,Round 6,128711,6,21452
6,1935-05-03,Round 7,93000,6,15500
7,1935-05-10,Round 8,89546,6,14924
8,1935-05-17,Round 9,47000,6,7833
9,1935-05-24,Round 10,89000,6,14833
10,1935-05-31,Round 11,90086,6,15014
11,1935-06-07,Round 12,88500,6,14750
12,1935-06-14,Round 13,81817,6,13636
13,1935-06-21,Round 14,75000,6,12500
14,1935-06-28,Round 15,103572,6,17262
15,1935-07-05,Round 16,84000,6,14000
16,1935-07-12,Round 17,71000,6,11833
17,1935-07-19,Round 18,78084,6,13014
18,1935-07-26,Finals,203870,4,50968
0,1936-03-22,Round 1,122000,6,20333
1,1936-03-29,Round 2,116745,6,19458
2,1936-04-05,Round 3,100000,6,16667
3,1936-04-12,Round 4,118652,6,19775
4,1936-04-19,Round 5,85000,6,14167
5,1936-04-26,Round 6,101595,6,16933
