,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,71000,6,11833
1,Round 2,76500,6,12750
2,Round 3,87000,6,14500
3,Round 4,88000,6,14667
4,Round 5,78000,6,13000
5,Round 6,89000,6,14833
6,Round 7,80000,6,13333
7,Round 8,94000,6,15667
8,Round 9,80000,6,13333
9,Round 10,67500,6,11250
10,Round 11,77000,6,12833
11,Round 12,74000,6,12333
12,Round 13,77000,6,12833
13,Round 14,74000,6,12333
14,Round 15,76000,6,12667
15,Round 16,86250,6,14375
16,Round 17,70500,6,11750
17,Round 18,78000,6,13000
18,Finals,137542,4,34386
