,0,1,2,3
0,Highest Home & Away Crowds,,,
1,38000,Richmond v Carlton,Punt Rd,1944.0
2,34000,Carlton v Footscray,Princes Park,1944.0
3,29000,Richmond v Fitzroy,Punt Rd,1944.0
4,28000,Carlton v Richmond,Princes Park,1944.0
5,26500,Footscray v Richmond,Western Oval,1944.0
6,26000,Richmond v Essendon,Punt Rd,1944.0
7,25000,South Melbourne v Richmond,Junction Oval,1944.0
8,23000,St Kilda v Carlton,Junction Oval,1944.0
9,22000,Fitzroy v Richmond,Brunswick St,1944.0
10,22000,Richmond v Footscray,Punt Rd,1944.0
11,22000,North Melbourne v Richmond,Arden St,1944.0
12,21000,Essendon v Richmond,Windy Hill,1944.0
13,21000,Carlton v Collingwood,Princes Park,1944.0
14,20000,Fitzroy v Footscray,Brunswick St,1944.0
15,20000,Fitzroy v South Melbourne,Brunswick St,1944.0
16,20000,Essendon v Carlton,Windy Hill,1944.0
17,20000,South Melbourne v Carlton,Junction Oval,1944.0
18,20000,South Melbourne v St Kilda,Junction Oval,1944.0
19,19000,St Kilda v Essendon,Junction Oval,1944.0
20,19000,Richmond v Melbourne,Punt Rd,1944.0
