,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,4000,Melbourne v Hawthorn,Punt Rd,1944.0
2,4500,Melbourne v Geelong,Punt Rd,1944.0
3,5000,Hawthorn v North Melbourne,Glenferrie Oval,1944.0
4,5000,Collingwood v Hawthorn,Victoria Park,1944.0
5,6000,Hawthorn v St Kilda,Glenferrie Oval,1944.0
6,6000,North Melbourne v Collingwood,Arden St,1944.0
7,6000,Collingwood v Geelong,Victoria Park,1944.0
8,6500,Geelong v North Melbourne,Kardinia Park,1944.0
9,7000,North Melbourne v South Melbourne,Arden St,1944.0
10,7000,St Kilda v North Melbourne,Junction Oval,1944.0
11,7000,South Melbourne v Geelong,Junction Oval,1944.0
12,7000,Carlton v Geelong,Princes Park,1944.0
13,7000,Essendon v Geelong,Windy Hill,1944.0
14,7000,Fitzroy v Geelong,Brunswick St,1944.0
15,7000,Geelong v Hawthorn,Kardinia Park,1944.0
16,7000,Geelong v St Kilda,Kardinia Park,1944.0
17,7000,Geelong v Footscray,Kardinia Park,1944.0
18,7500,South Melbourne v Collingwood,Junction Oval,1944.0
19,8000,Hawthorn v Geelong,Glenferrie Oval,1944.0
20,8000,Melbourne v St Kilda,Punt Rd,1944.0
