, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,77500,9,8611,,,
1,Brunswick St,157500,9,17500,,,
2,Corio Oval,92700,9,10300,,,
3,Glenferrie Oval,91500,9,10167,,,
4,Junction Oval,169000,9,18778,,,
5,Lake Oval,201000,9,22333,,,
6,M.C.G.,146278,9,16253,203870.0,4.0,50968.0
7,Princes Park,216000,9,24000,,,
8,Punt Rd,168500,9,18722,,,
9,Victoria Park,135000,9,15000,,,
10,Western Oval,116000,9,12889,,,
11,Windy Hill,128500,9,14278,,,
