,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,9198,Hawthorn v Footscray,Princes Park,1978.0
2,10183,North Melbourne v Melbourne,Arden St,1978.0
3,10303,Fitzroy v Geelong,Junction Oval,1978.0
4,11203,Hawthorn v Geelong,Princes Park,1978.0
5,11226,Fitzroy v Richmond,Junction Oval,1978.0
6,11872,Essendon v Melbourne,Windy Hill,1978.0
7,11903,Fitzroy v Footscray,Junction Oval,1978.0
8,11986,Hawthorn v Melbourne,Princes Park,1978.0
9,12299,Fitzroy v Hawthorn,Junction Oval,1978.0
10,12364,Melbourne v Geelong,M.C.G.,1978.0
11,12525,Footscray v Fitzroy,Western Oval,1978.0
12,12799,North Melbourne v St Kilda,Arden St,1978.0
13,12804,Fitzroy v North Melbourne,Junction Oval,1978.0
14,13072,Geelong v Melbourne,Waverley Park,1978.0
15,13118,St Kilda v Melbourne,Moorabbin Oval,1978.0
16,13325,Footscray v Melbourne,Western Oval,1978.0
17,13488,Melbourne v South Melbourne,M.C.G.,1978.0
18,13664,Fitzroy v South Melbourne,Junction Oval,1978.0
19,13743,Fitzroy v Essendon,Junction Oval,1978.0
20,13788,Hawthorn v Fitzroy,Princes Park,1978.0
