, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,194061,10,19406,,,
1,Junction Oval,128205,9,14245,,,
2,Kardinia Park,208172,10,20817,,,
3,Lake Oval,157906,9,17545,,,
4,M.C.G.,518037,19,27265,273568.0,3.0,91189.0
5,Moorabbin Oval,208393,9,23155,,,
6,Princes Park,385836,19,20307,,,
7,Victoria Park,255697,9,28411,,,
8,Waverley Park,604377,20,30219,179575.0,3.0,59858.0
9,Western Oval,166395,9,18488,,,
10,Windy Hill,197793,9,21977,,,
