,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,128438,6,21406
1,Round 2,152209,6,25368
2,Round 3,134186,6,22364
3,Round 4,155369,6,25895
4,Round 5,135999,6,22667
5,Round 6,128910,6,21485
6,Round 7,128957,6,21493
7,Round 8,116293,6,19382
8,Round 9,150508,6,25085
9,Round 10,111630,6,18605
10,Round 11,172140,6,28690
11,Round 12,102706,6,17118
12,Round 13,111713,6,18619
13,Round 14,106557,6,17760
14,Round 15,95038,6,15840
15,Round 16,123969,6,20662
16,Round 17,91383,6,15231
17,Round 18,112654,6,18776
18,Round 19,128711,6,21452
19,Round 20,121275,6,20213
20,Round 21,129092,6,21515
21,Round 22,125916,6,20986
22,Finals,479947,6,79991
