, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,164024,10,16402,,,
1,Junction Oval,113940,9,12660,,,
2,Kardinia Park,167297,9,18589,,,
3,Lake Oval,119543,10,11954,,,
4,M.C.G.,562298,18,31239,364466.0,4.0,91117.0
5,Moorabbin Oval,171063,9,19007,,,
6,Princes Park,353978,18,19665,,,
7,Victoria Park,236983,9,26331,,,
8,Waverley Park,484176,20,24209,115481.0,2.0,57741.0
9,Western Oval,194886,10,19489,,,
10,Windy Hill,195465,10,19547,,,
