, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide,462263,10,46226,213733.0,10.0,21373.0,675996.0,20.0,33800.0,190900.0,3.0,63633.0
1,Brisbane Bears,111488,10,11149,153967.0,10.0,15397.0,265455.0,20.0,13273.0,,,
2,Carlton,340786,10,34079,412787.0,10.0,41279.0,753573.0,20.0,37679.0,235834.0,3.0,78611.0
3,Collingwood,380558,10,38056,507572.0,10.0,50757.0,888130.0,20.0,44407.0,,,
4,Essendon,416128,10,41613,448691.0,10.0,44869.0,864819.0,20.0,43241.0,328434.0,4.0,82109.0
5,Fitzroy,146720,10,14672,242970.0,10.0,24297.0,389690.0,20.0,19485.0,,,
6,Footscray,210853,10,21085,274651.0,10.0,27465.0,485504.0,20.0,24275.0,,,
7,Geelong,269197,10,26920,300751.0,10.0,30075.0,569948.0,20.0,28497.0,,,
8,Hawthorn,270082,10,27008,310741.0,10.0,31074.0,580823.0,20.0,29041.0,55287.0,1.0,55287.0
9,Melbourne,311370,10,31137,213562.0,10.0,21356.0,524932.0,20.0,26247.0,,,
10,North Melbourne,302019,10,30202,240315.0,10.0,24032.0,542334.0,20.0,27117.0,29147.0,1.0,29147.0
11,Richmond,248525,10,24853,235516.0,10.0,23552.0,484041.0,20.0,24202.0,,,
12,St Kilda,284423,10,28442,251204.0,10.0,25120.0,535627.0,20.0,26781.0,,,
13,Sydney,94226,10,9423,161836.0,10.0,16184.0,256062.0,20.0,12803.0,,,
14,West Coast,336750,10,33675,217092.0,10.0,21709.0,553842.0,20.0,27692.0,104600.0,2.0,52300.0
15,Totals,Home & Away:4185388 (27903),Finals:472101 (67443) ,Overall:4657489 (29666),,,,,,,,,
