, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Football Park,462263,10,46226,,,
1,Gabba,111488,10,11149,,,
2,Kardinia Park,193912,8,24239,,,
3,M.C.G.,1651580,42,39323,383721.0,5.0,76744.0
4,Princes Park,366530,21,17454,,,
5,S.C.G.,94226,10,9423,,,
6,Subiaco,245940,7,35134,,,
7,Victoria Park,208931,8,26116,,,
8,W.A.C.A.,90810,3,30270,,,
9,Waverley Park,607852,22,27630,88380.0,2.0,44190.0
10,Western Oval,151856,9,16873,,,
