,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,193352,7,27622
1,Round 2,181532,7,25933
2,Round 3,231887,7,33127
3,Round 4,168930,6,28155
4,Round 5,153511,6,25585
5,Round 6,265108,7,37873
6,Round 7,136876,7,19554
7,Round 8,206107,7,29444
8,Round 9,173047,7,24721
9,Round 10,173539,7,24791
10,Round 11,219134,7,31305
11,Round 12,171233,7,24462
12,Round 13,176505,7,25215
13,Round 14,179935,7,25705
14,Round 15,227083,7,32440
15,Round 16,216730,7,30961
16,Round 17,206355,7,29479
17,Round 18,207336,7,29619
18,Round 19,137422,6,22904
19,Round 20,177100,6,29517
20,Round 21,191894,7,27413
21,Round 22,190772,7,27253
22,Finals,472101,7,67443
