,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,122000,6,20333
1,Round 2,116745,6,19458
2,Round 3,100000,6,16667
3,Round 4,118652,6,19775
4,Round 5,85000,6,14167
5,Round 6,101595,6,16933
6,Round 7,75250,6,12542
7,Round 8,82730,6,13788
8,Round 9,85000,6,14167
9,Round 10,84657,6,14110
10,Round 11,77500,6,12917
11,Round 12,67510,6,11252
12,Round 13,84000,6,14000
13,Round 14,64129,6,10688
14,Round 15,73000,6,12167
15,Round 16,70403,6,11734
16,Round 17,86100,6,14350
17,Round 18,75648,6,12608
18,Finals,234516,4,58629
