, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,87000,9,9667,,,
1,Brunswick St,122000,9,13556,,,
2,Corio Oval,80000,9,8889,,,
3,Glenferrie Oval,93000,9,10333,,,
4,Junction Oval,133300,9,14811,,,
5,Lake Oval,146000,9,16222,,,
6,M.C.G.,147069,9,16341,234516.0,4.0,58629.0
7,Princes Park,205000,9,22778,,,
8,Punt Rd,175000,9,19444,,,
9,Victoria Park,167550,9,18617,,,
10,Western Oval,107000,9,11889,,,
11,Windy Hill,107000,9,11889,,,
