,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,174640,6,29107
1,Round 2,214484,6,35747
2,Round 3,145818,6,24303
3,Round 4,163836,6,27306
4,Round 5,144263,6,24044
5,Round 6,174050,6,29008
6,Round 7,150767,6,25128
7,Round 8,212698,6,35450
8,Round 9,133700,6,22283
9,Round 10,139131,6,23189
10,Round 11,105279,6,17547
11,Round 12,151961,6,25327
12,Round 13,139960,6,23327
13,Round 14,159206,6,26534
14,Round 15,118983,6,19831
15,Round 16,144108,6,24018
16,Round 17,127508,6,21251
17,Round 18,138141,6,23024
18,Finals,368140,4,92035
