,0,1,2,3
0,Highest Home & Away Crowds,,,
1,81550,Melbourne v Geelong,M.C.G.,1963.0
2,71086,Melbourne v Essendon,M.C.G.,1963.0
3,55293,Melbourne v Hawthorn,M.C.G.,1963.0
4,55060,Melbourne v St Kilda,M.C.G.,1963.0
5,47514,Carlton v Geelong,Princes Park,1963.0
6,44900,St Kilda v Geelong,Junction Oval,1963.0
7,44501,Collingwood v Essendon,Victoria Park,1963.0
8,43057,Melbourne v Collingwood,M.C.G.,1963.0
9,42019,Carlton v Essendon,Princes Park,1963.0
10,40885,Geelong v Essendon,Kardinia Park,1963.0
11,40000,Essendon v Geelong,Windy Hill,1963.0
12,39490,Carlton v St Kilda,Princes Park,1963.0
13,38698,Carlton v Collingwood,Princes Park,1963.0
14,37900,St Kilda v Collingwood,Junction Oval,1963.0
15,35500,Hawthorn v Geelong,Glenferrie Oval,1963.0
16,34900,St Kilda v Hawthorn,Junction Oval,1963.0
17,33953,Geelong v South Melbourne,Kardinia Park,1963.0
18,33914,Melbourne v Richmond,M.C.G.,1963.0
19,33084,Geelong v St Kilda,Kardinia Park,1963.0
20,32600,Carlton v Melbourne,Princes Park,1963.0
