, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,140654,9,15628,,,
1,Brunswick St,151599,9,16844,,,
2,Glenferrie Oval,191595,9,21288,,,
3,Junction Oval,271700,9,30189,,,
4,Kardinia Park,267205,9,29689,,,
5,Lake Oval,162080,9,18009,,,
6,M.C.G.,414264,9,46029,368140.0,4.0,92035.0
7,Princes Park,265220,9,29469,,,
8,Punt Rd,180540,9,20060,,,
9,Victoria Park,252722,9,28080,,,
10,Western Oval,201616,9,22402,,,
11,Windy Hill,239338,9,26593,,,
