, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carrara,20573,2,10287,,,
1,Docklands,1737125,50,34743,,,
2,Football Park,766831,22,34856,92722.0,2.0,46361.0
3,Gabba,340470,12,28373,,,
4,Kardinia Park,177700,8,22213,,,
5,M.C.G.,1768641,39,45350,249243.0,3.0,83081.0
6,Manuka Oval,34024,3,11341,,,
7,Marrara Oval,14100,1,14100,,,
8,S.C.G.,273617,9,30402,,,
9,Stadium Australia,134998,3,44999,61373.0,1.0,61373.0
10,Subiaco,850438,22,38656,128840.0,3.0,42947.0
11,York Park,85539,5,17108,,,
