, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Brisbane Bears,98616,11,8965,145838.0,11.0,13258.0,244454.0,22.0,11112.0,,,
1,Carlton,315869,11,28715,304027.0,11.0,27639.0,619896.0,22.0,28177.0,157087.0,2.0,78544.0
2,Collingwood,239654,11,21787,304338.0,11.0,27667.0,543992.0,22.0,24727.0,,,
3,Essendon,211731,11,19248,286545.0,11.0,26050.0,498276.0,22.0,22649.0,,,
4,Fitzroy,114976,10,11498,207071.0,12.0,17256.0,322047.0,22.0,14639.0,,,
5,Footscray,200967,12,16747,170545.0,10.0,17055.0,371512.0,22.0,16887.0,,,
6,Geelong,225085,11,20462,182784.0,11.0,16617.0,407869.0,22.0,18540.0,,,
7,Hawthorn,193106,11,17555,216021.0,11.0,19638.0,409127.0,22.0,18597.0,276137.0,4.0,69034.0
8,Melbourne,262723,11,23884,178262.0,11.0,16206.0,440985.0,22.0,20045.0,224218.0,3.0,74739.0
9,North Melbourne,193561,10,19356,219302.0,12.0,18275.0,412863.0,22.0,18767.0,72628.0,1.0,72628.0
10,Richmond,220061,12,18338,169663.0,10.0,16966.0,389724.0,22.0,17715.0,,,
11,St Kilda,180693,10,18069,203307.0,12.0,16942.0,384000.0,22.0,17455.0,,,
12,Sydney,241853,11,21987,248164.0,11.0,22560.0,490017.0,22.0,22274.0,128044.0,2.0,64022.0
13,West Coast,291317,12,24276,154345.0,10.0,15435.0,445662.0,22.0,20257.0,,,
14,Totals,Home & Away:2990212 (19417),Finals:429057 (71510) ,Overall:3419269 (21370),,,,,,,,,
