, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carrara,98616,11,8965,,,
1,Kardinia Park,191935,10,19194,,,
2,M.C.G.,689012,32,21532,245674.0,3.0,81891.0
3,Moorabbin Oval,160339,9,17815,,,
4,Princes Park,322587,22,14663,,,
5,S.C.G.,241853,11,21987,,,
6,Subiaco,191918,7,27417,,,
7,Victoria Park,127726,7,18247,,,
8,W.A.C.A.,99399,5,19880,,,
9,Waverley Park,602282,23,26186,183383.0,3.0,61128.0
10,Western Oval,138508,9,15390,,,
11,Windy Hill,126037,8,15755,,,
