, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,160000,9,17778,212500.0,9.0,23611.0,372500.0,18.0,20694.0,,,
1,Collingwood,170500,9,18944,169063.0,9.0,18785.0,339563.0,18.0,18865.0,199734.0,3.0,66578.0
2,Essendon,139000,9,15444,129247.0,9.0,14361.0,268247.0,18.0,14903.0,,,
3,Fitzroy,105000,9,11667,107543.0,9.0,11949.0,212543.0,18.0,11808.0,,,
4,Footscray,115500,9,12833,139516.0,9.0,15502.0,255016.0,18.0,14168.0,,,
5,Geelong,83500,9,9278,109413.0,9.0,12157.0,192913.0,18.0,10717.0,,,
6,Hawthorn,116000,9,12889,90000.0,9.0,10000.0,206000.0,18.0,11444.0,,,
7,Melbourne,159730,9,17748,136500.0,9.0,15167.0,296230.0,18.0,16457.0,132886.0,2.0,66443.0
8,North Melbourne,106000,9,11778,105882.0,9.0,11765.0,211882.0,18.0,11771.0,,,
9,Richmond,205000,9,22778,175840.0,9.0,19538.0,380840.0,18.0,21158.0,51411.0,1.0,51411.0
10,South Melbourne,105000,9,11667,121023.0,9.0,13447.0,226023.0,18.0,12557.0,,,
11,St Kilda,179000,9,19889,147703.0,9.0,16411.0,326703.0,18.0,18150.0,118259.0,2.0,59130.0
12,Totals,Home & Away:1644230 (15224),Finals:251145 (62786) ,Overall:1895375 (16923),,,,,,,,,
