, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,106000,9,11778,,,
1,Brunswick St,105000,9,11667,,,
2,Corio Oval,83500,9,9278,,,
3,Glenferrie Oval,116000,9,12889,,,
4,Junction Oval,179000,9,19889,,,
5,Lake Oval,105000,9,11667,,,
6,M.C.G.,159730,9,17748,251145.0,4.0,62786.0
7,Princes Park,160000,9,17778,,,
8,Punt Rd,205000,9,22778,,,
9,Victoria Park,170500,9,18944,,,
10,Western Oval,115500,9,12833,,,
11,Windy Hill,139000,9,15444,,,
