,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,129000,6,21500
1,Round 2,126342,6,21057
2,Round 3,114000,6,19000
3,Round 4,120869,6,20145
4,Round 5,126500,6,21083
5,Round 6,110102,6,18350
6,Round 7,98200,6,16367
7,Round 8,94000,6,15667
8,Round 9,82807,6,13801
9,Round 10,92500,6,15417
10,Round 11,88285,6,14714
11,Round 12,93805,6,15634
12,Round 13,84000,6,14000
13,Round 14,77163,6,12861
14,Round 15,81500,6,13583
15,Round 16,67011,6,11169
16,Round 17,85500,6,14250
17,Round 18,44232,6,7372
18,Finals,183691,4,45923
