, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,200500,9,22278,207500.0,9.0,23056.0,408000.0,18.0,22667.0,,,
1,Collingwood,160500,9,17833,157307.0,9.0,17479.0,317807.0,18.0,17656.0,52022.0,1.0,52022.0
2,Essendon,108000,9,12000,151500.0,9.0,16833.0,259500.0,18.0,14417.0,,,
3,Fitzroy,148000,9,16444,138869.0,9.0,15430.0,286869.0,18.0,15937.0,,,
4,Footscray,101500,9,11278,131232.0,9.0,14581.0,232732.0,18.0,12930.0,,,
5,Geelong,126200,9,14022,144163.0,9.0,16018.0,270363.0,18.0,15020.0,66334.0,2.0,33167.0
6,Hawthorn,72000,9,8000,83842.0,9.0,9316.0,155842.0,18.0,8658.0,,,
7,Melbourne,114616,9,12735,110500.0,9.0,12278.0,225116.0,18.0,12506.0,,,
8,North Melbourne,99000,9,11000,93011.0,9.0,10335.0,192011.0,18.0,10667.0,,,
9,Richmond,202500,9,22500,162305.0,9.0,18034.0,364805.0,18.0,20267.0,101269.0,2.0,50635.0
10,South Melbourne,218000,9,24222,207985.0,9.0,23109.0,425985.0,18.0,23666.0,147757.0,3.0,49252.0
11,St Kilda,165000,9,18333,127602.0,9.0,14178.0,292602.0,18.0,16256.0,,,
12,Totals,Home & Away:1715816 (15887),Finals:183691 (45923) ,Overall:1899507 (16960),,,,,,,,,
