, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,99000,9,11000,,,
1,Brunswick St,148000,9,16444,,,
2,Corio Oval,126200,9,14022,,,
3,Glenferrie Oval,72000,9,8000,,,
4,Junction Oval,165000,9,18333,,,
5,Lake Oval,218000,9,24222,,,
6,M.C.G.,114616,9,12735,183691.0,4.0,45923.0
7,Princes Park,200500,9,22278,,,
8,Punt Rd,202500,9,22500,,,
9,Victoria Park,160500,9,17833,,,
10,Western Oval,101500,9,11278,,,
11,Windy Hill,108000,9,12000,,,
