,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,110382,6,18397
1,Round 2,112300,6,18717
2,Round 3,114931,6,19155
3,Round 4,103000,6,17167
4,Round 5,88320,6,14720
5,Round 6,131500,6,21917
6,Round 7,98075,6,16346
7,Round 8,89500,6,14917
8,Round 9,101671,6,16945
9,Round 10,54000,6,9000
10,Round 11,95592,6,15932
11,Round 12,115500,6,19250
12,Round 13,89168,6,14861
13,Round 14,103500,6,17250
14,Round 15,90395,6,15066
15,Round 16,78200,6,13033
16,Round 17,64268,6,10711
17,Round 18,83000,6,13833
18,Finals,138766,3,46255
