,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,4000,North Melbourne v Hawthorn,Arden St,1927.0
2,5000,Hawthorn v St Kilda,Glenferrie Oval,1927.0
3,5000,Hawthorn v Footscray,Glenferrie Oval,1927.0
4,5000,North Melbourne v South Melbourne,Arden St,1927.0
5,5000,South Melbourne v Hawthorn,Lake Oval,1927.0
6,5268,Melbourne v Hawthorn,M.C.G.,1927.0
7,6000,Hawthorn v Essendon,Glenferrie Oval,1927.0
8,7000,Hawthorn v Fitzroy,Glenferrie Oval,1927.0
9,7000,Collingwood v Hawthorn,Victoria Park,1927.0
10,7000,Collingwood v North Melbourne,Victoria Park,1927.0
11,7000,Essendon v Fitzroy,Windy Hill,1927.0
12,7000,Footscray v St Kilda,Western Oval,1927.0
13,8000,Hawthorn v North Melbourne,Glenferrie Oval,1927.0
14,8000,Hawthorn v Carlton,Glenferrie Oval,1927.0
15,8000,St Kilda v Geelong,Junction Oval,1927.0
16,8000,Collingwood v Essendon,Victoria Park,1927.0
17,8000,Fitzroy v North Melbourne,Brunswick St,1927.0
18,8000,Footscray v Fitzroy,Western Oval,1927.0
19,8500,Geelong v Hawthorn,Corio Oval,1927.0
20,9000,Hawthorn v Collingwood,Glenferrie Oval,1927.0
