, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,104000,9,11556,,,
1,Brunswick St,143500,9,15944,,,
2,Corio Oval,131000,9,14556,,,
3,Glenferrie Oval,68000,9,7556,,,
4,Junction Oval,130000,9,14444,,,
5,Lake Oval,175000,9,19444,,,
6,M.C.G.,154802,9,17200,138766.0,3.0,46255.0
7,Princes Park,205000,9,22778,,,
8,Punt Rd,208000,9,23111,,,
9,Victoria Park,142000,9,15778,,,
10,Western Oval,110000,9,12222,,,
11,Windy Hill,152000,9,16889,,,
