,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,4368,Gold Coast v Sydney,Carrara,2016.0
2,5146,Melbourne v Port Adelaide,Traeger Park,2016.0
3,8163,Melbourne v Fremantle,Marrara Oval,2016.0
4,8308,Greater Western Sydney v Gold Coast,Sydney Showground,2016.0
5,8509,Western Bulldogs v Gold Coast,Cazaly's Stadium,2016.0
6,8933,Gold Coast v Fremantle,Carrara,2016.0
7,9108,Gold Coast v Greater Western Sydney,Carrara,2016.0
8,9213,Gold Coast v Port Adelaide,Carrara,2016.0
9,9556,Greater Western Sydney v Fremantle,Sydney Showground,2016.0
10,9612,Greater Western Sydney v Western Bulldogs,Sydney Showground,2016.0
11,10028,Greater Western Sydney v Port Adelaide,Manuka Oval,2016.0
12,10121,Hawthorn v Gold Coast,York Park,2016.0
13,10195,Brisbane Lions v Greater Western Sydney,Gabba,2016.0
14,10355,Greater Western Sydney v Carlton,Sydney Showground,2016.0
15,10385,Greater Western Sydney v West Coast,Sydney Showground,2016.0
16,11692,Gold Coast v Adelaide,Carrara,2016.0
17,12012,Hawthorn v Fremantle,York Park,2016.0
18,12607,North Melbourne v Melbourne,Bellerive Oval,2016.0
19,12777,Brisbane Lions v West Coast,Gabba,2016.0
20,12780,Gold Coast v Melbourne,Carrara,2016.0
