, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide Oval,953922.0,22.0,43360.0,49007.0,1.0,49007.0
1,Bellerive Oval,46946.0,3.0,15649.0,,,
2,Carrara,127168.0,11.0,11561.0,,,
3,Cazaly's Stadium,8509.0,1.0,8509.0,,,
4,Docklands,1389905.0,46.0,30215.0,,,
5,Gabba,187816.0,11.0,17074.0,,,
6,Kardinia Park,187973.0,8.0,23497.0,,,
7,M.C.G.,2087896.0,46.0,45389.0,347109.0,4.0,86777.0
8,Manuka Oval,38658.0,3.0,12886.0,,,
9,Marrara Oval,8163.0,1.0,8163.0,,,
10,S.C.G.,367679.0,11.0,33425.0,38136.0,1.0,38136.0
11,Stadium Australia,,0.5,,60222.0,1.0,60222.0
12,Subiaco,747572.0,22.0,33981.0,42079.0,1.0,42079.0
13,Sydney Showground,97006.0,8.0,12126.0,21790.0,1.0,21790.0
14,Traeger Park,5146.0,1.0,5146.0,,,
15,York Park,57297.0,4.0,14324.0,,,
