,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,360850,9,40094
1,Round 2,354131,9,39348
2,Round 3,299675,9,33297
3,Round 4,278607,9,30956
4,Round 5,365491,9,40610
5,Round 6,282559,9,31395
6,Round 7,292474,9,32497
7,Round 8,267333,9,29704
8,Round 9,295936,9,32882
9,Round 10,302505,9,33612
10,Round 11,246205,9,27356
11,Round 12,322270,9,35808
12,Round 13,157572,6,26262
13,Round 14,136314,6,22719
14,Round 15,203712,6,33952
15,Round 16,235019,9,26113
16,Round 17,263052,9,29228
17,Round 18,273002,9,30334
18,Round 19,247010,9,27446
19,Round 20,304807,9,33867
20,Round 21,272374,9,30264
21,Round 22,253550,9,28172
22,Round 23,297208,9,33023
23,Finals,558343,9,62038
