, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide,517612,11,47056,339831.0,11.0,30894.0,857443.0,22.0,38975.0,87143.0,2.0,43572.0
1,Brisbane Lions,187816,11,17074,314093.0,11.0,28554.0,501909.0,22.0,22814.0,,,
2,Carlton,389242,11,35386,395203.0,11.0,35928.0,784445.0,22.0,35657.0,,,
3,Collingwood,508066,11,46188,464153.0,11.0,42196.0,972219.0,22.0,44192.0,,,
4,Essendon,371015,11,33729,431044.0,11.0,39186.0,802059.0,22.0,36457.0,,,
5,Fremantle,345575,11,31416,229013.0,11.0,20819.0,574588.0,22.0,26118.0,,,
6,Geelong,335470,11,30497,415512.0,11.0,37774.0,750982.0,22.0,34136.0,159305.0,2.0,79653.0
7,Gold Coast,127168,11,11561,224480.0,11.0,20407.0,351648.0,22.0,15984.0,,,
8,Greater Western Sydney,135664,11,12333,267543.0,11.0,24322.0,403207.0,22.0,18328.0,82012.0,2.0,41006.0
9,Hawthorn,404957,11,36814,435539.0,11.0,39594.0,840496.0,22.0,38204.0,175356.0,2.0,87678.0
10,Melbourne,344591,11,31326,342050.0,11.0,31095.0,686641.0,22.0,31211.0,,,
11,North Melbourne,309881,11,28171,361966.0,11.0,32906.0,671847.0,22.0,30539.0,49007.0,1.0,49007.0
12,Port Adelaide,436310,11,39665,258638.0,11.0,23513.0,694948.0,22.0,31589.0,,,
13,Richmond,452709,11,41155,447528.0,11.0,40684.0,900237.0,22.0,40920.0,,,
14,St Kilda,338219,11,30747,348301.0,11.0,31664.0,686520.0,22.0,31205.0,,,
15,Sydney,367679,11,33425,328891.0,11.0,29899.0,696570.0,22.0,31662.0,270111.0,4.0,67528.0
16,West Coast,401997,11,36545,342777.0,11.0,31162.0,744774.0,22.0,33853.0,42079.0,1.0,42079.0
17,Western Bulldogs,337685,11,30699,365094.0,11.0,33190.0,702779.0,22.0,31945.0,251673.0,4.0,62918.0
18,Totals,Home & Away:6311656 (31877),Finals:558343 (62038) ,Overall:6869999 (33188),,,,,,,,,
