, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carrara,51793,7,7399,,,
1,Football Park,445831,11,40530,,,
2,Gabba,36335,4,9084,,,
3,Kardinia Park,202184,9,22465,,,
4,M.C.G.,640010,27,23704,,,
5,Moorabbin Oval,239516,9,26613,,,
6,North Hobart,27081,2,13541,,,
7,Princes Park,370090,24,15420,,,
8,S.C.G.,122536,11,11140,,,
9,Subiaco,234139,7,33448,44142.0,1.0,44142.0
10,Victoria Park,176150,7,25164,,,
11,W.A.C.A.,115181,4,28795,,,
12,Waverley Park,864687,26,33257,337565.0,6.0,56261.0
13,Western Oval,131721,9,14636,,,
14,Windy Hill,139923,8,17490,,,
