,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,143060,4,35765
1,Round 2,172029,7,24576
2,Round 3,151053,7,21579
3,Round 4,152644,7,21806
4,Round 5,152112,7,21730
5,Round 6,193592,7,27656
6,Round 7,149014,7,21288
7,Round 8,138094,7,19728
8,Round 9,153516,7,21931
9,Round 10,191445,7,27349
10,Round 11,127579,7,18226
11,Round 12,171849,7,24550
12,Round 13,156486,7,22355
13,Round 14,171774,7,24539
14,Round 15,159178,7,22740
15,Round 16,169713,7,24245
16,Round 17,118606,7,16944
17,Round 18,155806,7,22258
18,Round 19,162432,7,23205
19,Round 20,155211,7,22173
20,Round 21,162861,7,23266
21,Round 22,163318,7,23331
22,Round 23,154794,7,22113
23,Round 24,171011,7,24430
24,Finals,381707,7,54530
