,0,1,2,3
0,Highest Home & Away Crowds,,,
1,91440,Collingwood v Essendon,M.C.G.,2018.0
2,90151,Richmond v Carlton,M.C.G.,2018.0
3,88180,Richmond v Collingwood,M.C.G.,2018.0
4,83518,Melbourne v Collingwood,M.C.G.,2018.0
5,81046,Essendon v Richmond,M.C.G.,2018.0
6,77071,Melbourne v Richmond,M.C.G.,2018.0
7,73189,Geelong v Hawthorn,M.C.G.,2018.0
8,72157,Collingwood v Richmond,M.C.G.,2018.0
9,70701,Richmond v Hawthorn,M.C.G.,2018.0
10,69868,Essendon v Collingwood,M.C.G.,2018.0
11,68548,Carlton v Collingwood,M.C.G.,2018.0
12,58051,Hawthorn v Collingwood,M.C.G.,2018.0
13,57616,West Coast v Richmond,Perth Stadium,2018.0
14,56521,Fremantle v West Coast,Perth Stadium,2018.0
15,54934,Richmond v Adelaide,M.C.G.,2018.0
16,54535,West Coast v Geelong,Perth Stadium,2018.0
17,54188,West Coast v St Kilda,Perth Stadium,2018.0
18,54112,Melbourne v Geelong,M.C.G.,2018.0
19,53706,Collingwood v Carlton,M.C.G.,2018.0
20,53553,West Coast v Sydney,Perth Stadium,2018.0
