, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide Oval,756564,18,42031,,,
1,Bellerive Oval,32636,3,10879,,,
2,Carrara,65145,5,13029,,,
3,Cazaly's Stadium,3722,1,3722,,,
4,Docklands,1070517,36,29737,,,
5,Eureka Stadium,13283,2,6642,,,
6,Gabba,173760,10,17376,,,
7,Jiangwan Stadium,10689,1,10689,,,
8,Kardinia Park,204159,7,29166,,,
9,M.C.G.,1924674,36,53463,,,
10,Manuka Oval,21810,2,10905,,,
11,Marrara Oval,8689,1,8689,,,
12,Perth Stadium,883993,19,46526,,,
13,S.C.G.,294650,9,32739,,,
14,Sydney Showground,74555,7,10651,,,
15,Traeger Park,6989,1,6989,,,
16,York Park,50312,4,12578,,,
